TIMESTAMP;PDU;CPU;RAM;GPU
1745307499.639665;3.6;1.97366;0;0
1745307500.636288;25.2;4.9715;0;0
1745307501.637817;46.8;9.23274;0;0
1745307502.635057;64.8;11.8674;0;0
1745307503.636268;86.4;14.7952;0;0
1745307504.635281;108;18.3261;0;0
1745307505.632018;126;20.8391;0;0
1745307506.632756;147.6;23.7772;0;0
1745307507.633066;169.2;27.5679;0;0
1745307508.631378;187.2;29.6548;0;0
1745307509.629613;208.8;32.6446;0;0
1745307510.631271;230.4;36.4517;0;0
1745307511.628562;248.4;38.7208;0;0
1745307512.629544;270;41.7122;0;0
1745307513.628159;295.2;46.8707;0;0
1745307514.626315;320.4;52.7379;0;0
1745307515.626753;345.6;57.1224;0;0
1745307516.642649;367.2;60.9291;0;0
1745307517.623499;388.8;63.7976;0;0
1745307518.624208;410.4;66.9142;0;0
1745307519.620204;428.4;69.8134;0;0
1745307520.619145;450;72.7796;0;0
1745307521.619032;468;76.1602;0;0
1745307522.621207;489.6;78.8814;0;0
1745307523.618499;507.6;81.789;0;0
1745307524.617681;529.2;85.3306;0;0
1745307525.616799;547.2;87.6906;0;0
1745307526.615718;565.2;90.7245;0;0
1745307527.615481;586.8;93.6928;0;0
1745307528.613823;604.8;96.5324;0;0
1745307529.615341;626.4;99.51;0;0
1745307530.612195;644.4;102.764;0;0
1745307531.611749;666;106.083;0;0
1745307532.627290;687.6;109.082;0;0
1745307533.610349;705.6;112.046;0;0
1745307534.623899;727.2;115.258;0;0
1745307535.608222;745.2;118.166;0;0
1745307536.607401;766.8;121.631;0;0
1745307537.606313;788.4;124.661;0;0
1745307538.607302;806.4;127.611;0;0
1745307539.604520;828;131.146;0;0
1745307540.621747;849.6;134.376;0;0
1745307541.603156;871.2;137.303;0;0
1745307542.603850;889.2;140.361;0;0
1745307543.602122;910.8;143.37;0;0
1745307544.602268;932.4;146.865;0;0
1745307545.599870;950.4;149.84;0;0
1745307546.600174;972;152.801;0;0
1745307547.597105;990;156.161;0;0
1745307548.599432;1011.6;159.544;0;0
1745307549.611425;1033.2;162.618;0;0
1745307550.597730;1051.2;165.523;0;0
1745307551.595705;1072.8;168.644;0;0
1745307552.595479;1090.8;171.567;0;0
1745307553.595036;1116;175.302;0;0
1745307554.595189;1134;178.265;0;0
1745307555.592806;1155.6;181.357;0;0
1745307556.592857;1177.2;184.697;0;0
1745307557.606666;1195.2;188.299;0;0
1745307558.590388;1220.4;192.194;0;0
1745307559.589744;1238.4;195.144;0;0
1745307560.589794;1260;198.28;0;0
1745307561.586311;1278;201.409;0;0
1745307562.587634;1299.6;204.891;0;0
1745307563.586474;1321.2;207.888;0;0
1745307564.586712;1339.2;210.537;0;0
1745307565.585907;1357.2;212.586;0;0
1745307566.585832;1375.2;214.634;0;0
1745307567.583939;1393.2;216.689;0;0
1745307568.583985;1411.2;218.748;0;0
1745307569.582974;1425.6;220.803;0;0
1745307570.582997;1443.6;222.87;0;0
1745307571.581445;1461.6;224.927;0;0
1745307572.581556;1479.6;226.96;0;0
1745307573.580457;1497.6;229.032;0;0
1745307574.580803;1515.6;231.118;0;0
1745307575.578540;1533.6;233.168;0;0
1745307576.578704;1551.6;235.229;0;0
1745307577.577670;1569.6;237.339;0;0
1745307578.576855;1587.6;239.398;0;0
1745307579.575937;1605.6;241.42;0;0
1745307580.576075;1620;243.477;0;0
1745307581.574971;1638;245.519;0;0
1745307582.574968;1656;247.56;0;0
1745307583.573101;1674;249.6;0;0
1745307584.573213;1692;251.653;0;0
1745307585.572431;1710;253.709;0;0
1745307586.572500;1728;255.78;0;0
1745307587.570640;1746;257.831;0;0
1745307588.569530;1760.4;259.867;0;0
1745307589.569765;1778.4;261.912;0;0
1745307590.568783;1796.4;263.962;0;0
1745307591.568875;1814.4;266.039;0;0
1745307592.567903;1832.4;268.077;0;0
1745307593.567705;1850.4;270.105;0;0
1745307594.566338;1868.4;272.145;0;0
1745307595.564982;1882.8;274.192;0;0
1745307596.566474;1900.8;276.278;0;0
1745307597.561859;1944;296.641;0;0
1745307598.563280;1994.4;321.609;0;0
1745307599.562848;2048.4;346.552;0;0
1745307600.563195;2091.6;371.494;0;0
1745307601.562517;2145.6;396.412;0;0
1745307602.559398;2196;421.281;0;0
1745307603.560692;2246.4;446.249;0;0
1745307604.559724;2296.8;471.165;0;0
1745307605.558917;2347.2;496.111;0;0
1745307606.557530;2397.6;521.003;0;0
1745307607.556769;2448;545.92;0;0
1745307608.555619;2498.4;570.862;0;0
1745307609.554701;2552.4;595.78;0;0
1745307610.554207;2602.8;620.698;0;0
1745307611.553507;2653.2;645.615;0;0
1745307612.550191;2703.6;670.482;0;0
1745307613.551093;2754;695.45;0;0
1745307614.548409;2804.4;720.304;0;0
1745307615.549478;2854.8;745.275;0;0
1745307616.548582;2905.2;770.22;0;0
1745307617.547668;2955.6;795.138;0;0
1745307618.544233;3006;820.005;0;0
1745307619.547063;3056.4;844.999;0;0
1745307620.543708;3106.8;869.865;0;0
1745307621.543299;3157.2;894.807;0;0
1745307622.543840;3207.6;919.743;0;0
1745307623.542048;3258;944.635;0;0
1745307624.542349;3308.4;969.578;0;0
1745307625.540021;3358.8;994.467;0;0
1745307626.539437;3409.2;1019.38;0;0
1745307627.538473;3459.6;1044.3;0;0
1745307628.537029;3513.6;1069.22;0;0
