HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.89
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;10;2.2
29;21;3.31
52;0;3.5
55;0;3.77
61;0;3.48
64;0;3.84
67;0;3.79
75;0;3.98
67;0;3.85
69;0;4.08
77;11;4.2
79;6;4.14
109;0;4.33
79;0;4.03
81;0;4.29
104;0;4.35
85;0;4.33
91;0;4.34
88;0;4.39
75;0;4.45
89;6;4.43
104;6;4.41
102;1;4.54
78;0;4.16
113;0;4.52
94;0;4.49
100;0;4.54
99;0;4.54
98;0;4.47
104;0;4.55
98;6;4.61
84;4;4.54
115;1;4.58
100;0;4.66
101;0;4.59
107;0;4.67
106;0;4.59
116;0;4.67
99;0;4.64
95;0;4.6
88;0;4.64
130;0;4.64
106;0;4.57
102;0;4.45
98;0;4.41
94;0;4.53
96;0;4.41
108;0;4.57
103;0;4.49
83;0;4.53
100;0;4.46
119;0;4.5
121;0;4.65
104;0;4.58
107;0;4.54
90;0;4.54
105;0;4.46
104;0;4.58
76;0;4.58
113;0;4.54
101;3;4.66
82;6;4.54
85;2;4.58
104;0;4.39
120;0;4.42
83;0;4.31
92;0;4.35
107;0;4.42
113;0;4.42
94;0;4.35
97;5;4.38
105;2;4.46
96;2;4.38
127;1;4.46
95;0;4.58
107;0;4.58
121;0;4.38
112;0;4.46
120;0;4.5
107;0;4.58
100;4;4.54
95;4;4.35
106;2;4.46
98;0;4.42
98;0;4.54
111;0;4.38
105;0;4.27
107;0;4.35
123;0;4.38
111;0;4.27
121;3;4.35
78;5;4.34
103;1;4.34
79;1;4.27
117;0;4.46
86;0;4.35
92;0;4.27
107;0;4.58
117;0;4.42
95;0;4.5
117;0;4.54
110;0;4.38
