TIMESTAMP;CPU;RAM;GPU;FREQ0;FREQ1;FREQ2;FREQ3;FREQ4;FREQ5;FREQ6;FREQ7;FREQ8;FREQ9;FREQ10;FREQ11
1695023587.221023;3.06079;0.345612;0;1352157;3800122;3800048;2723287;3780060;3740268;3153683;3642566;3777060;3224425;3386876;3548395
1695023588.61443;41.2063;5.38188;0;3425503;3102784;2940854;2948544;2541455;3013399;2814673;2731447;3498516;3555767;3776338;2822167
1695023589.300949;77.3823;10.3299;0;3675436;1217090;1320937;2638505;2500831;3164337;2229840;2572339;3800000;3799903;3802161;1333223
1695023590.75035;117.92;15.4511;0;3300891;3609129;3446314;3355389;3342833;3640241;3477654;3201985;3149920;3320554;3073732;2852612
1695023591.276980;152.03;20.1546;0;3084989;1222489;1200026;2895127;2531508;1935398;1200257;1200085;3806721;2610897;3537557;1200830
1695023592.57914;188.489;25.1579;0;2887575;2530851;3657376;3355522;3490523;2607594;3365702;3013255;3684896;2840221;2993951;2633385
1695023593.57947;230.737;30.22;0;2659095;3245242;3484071;3283985;3419261;3227754;3295626;3364362;3271601;3393041;3383746;3200350
1695023594.56671;253.185;34.702;0;1456091;1356653;2011880;1285796;1321428;1603725;1450139;1314447;1483635;1318240;1530488;1294495
1695023595.55630;277.896;39.4002;0;1251428;1550460;1952183;1687950;1232503;1506541;1224976;1437491;1576959;1461742;1375649;1378319
1695023596.54604;305.351;44.2957;0;1725403;1396590;1981554;1411031;1425721;1618516;3196099;1871340;1512516;1907606;1431334;2037146
1695023597.53267;339.454;49.4294;0;3240637;1548670;2279023;1668622;1697253;1483726;2692200;1396089;1702352;1614028;2133744;2178603
1695023598.52613;365.591;54.0483;0;2074335;2236351;1821885;2447685;1991999;2629498;3143548;2079038;2303267;3181566;2598759;1934953
1695023599.244849;410.632;59.2683;0;3456548;3800046;3800002;3800013;3799999;3799985;3712362;3794702;3761498;3800001;3774084;3799999
1695023600.65959;474.374;64.853;0;3795952;3761973;3706609;3763637;3758799;3773894;3785125;3767463;3725977;3783603;3750810;3784718
1695023601.50715;523.303;70.1001;0;3613263;3587325;2977659;3534771;3775435;3525706;3441711;3507111;3471043;3632137;3782945;3664542
1695023602.50042;540.276;73.8295;0;1386773;2157778;1251908;1628783;1336595;1233272;1331580;1475006;1239810;1415269;1296378;1206251
1695023603.48888;558.104;77.8341;0;1332320;1378093;1264671;1378263;1328791;1398979;1291195;1307750;1219671;1345735;1725978;1380312
1695023604.47815;575.856;81.8666;0;1265820;1841523;1323155;1361854;1304498;1258574;1262251;1348166;1335357;1289574;1467557;1240417
1695023605.47222;593.559;85.8447;0;1272801;1327959;1295737;1393201;1516015;1249994;1252077;1303731;1314746;1295214;1302572;1220514
1695023606.46384;616.618;90.3284;0;3681319;3223520;1345110;1219431;1421166;1394829;1326013;1533864;1481458;1304153;1883961;1331425
1695023607.45583;637.324;94.4957;0;2626419;3063511;2632365;1794366;1582956;1514410;2168258;1623156;1698703;1460626;1400522;2003511
1695023608.44193;676.739;99.7155;0;2701441;2021923;3748772;2853501;3435663;2409183;3462437;2132548;3428728;2260204;2643745;1781269
1695023609.44061;704.167;103.852;0;1489002;1321757;3664347;2709750;2528161;2226486;1561390;1340352;2527569;2867007;2041132;1817294
1695023610.42811;721.291;107.67;0;1308879;1450263;1208907;1310787;1212843;1320982;1502052;1378475;1370736;1387152;1236848;1256488
1695023611.41849;739.036;111.689;0;1287635;1233831;1345099;1311239;1240328;1453141;1481797;1286627;1498794;1762219;1281337;1379478
1695023612.41349;756.727;115.733;0;1385043;1258098;1342802;1318360;1291909;1505940;1225324;1234806;1654610;1329194;1287298;1352977
1695023613.40403;779.439;120.1;0;1678896;1505249;1818046;1565706;3674114;1418674;1208664;3150664;1687412;1906455;2256050;1336480
