HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;9;2.39
20;21;3.58
58;0;3.77
60;0;3.84
66;0;3.77
76;0;3.85
66;0;3.92
71;0;4.03
72;0;3.9
73;0;4.09
66;10;4.12
90;7;4.14
96;0;4.17
89;0;3.95
104;0;4.13
97;0;4.08
95;0;4.14
98;0;4.16
106;0;4.33
91;0;4.11
90;4;4.2
88;8;4.19
84;2;4.2
95;0;4.25
81;0;4.22
114;0;4.5
83;0;4.27
94;0;4.32
94;0;4.32
93;0;4.44
98;2;4.33
96;6;4.38
98;2;4.39
136;0;4.55
107;0;4.4
97;0;4.44
128;0;4.52
96;0;4.29
119;0;4.21
121;0;4.33
97;0;4.17
122;0;4.22
117;0;4.3
118;0;4.42
101;0;4.3
101;0;4.46
116;0;4.38
89;0;4.3
105;0;4.38
106;0;4.38
127;0;4.54
113;0;4.38
101;0;4.38
87;0;4.46
117;0;4.5
129;0;4.54
100;0;4.19
109;0;4.27
106;0;4.23
119;0;4.38
121;0;4.31
77;7;4.15
107;2;4.26
