HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
12;54;1.24
15;31;1.36
26;51;1.51
24;48;1.71
26;52;1.8
30;60;1.99
26;52;2.23
25;50;2.24
30;60;2.41
17;65;2.5
38;75;2.77
32;64;2.93
35;71;2.98
40;79;3.21
35;70;3.42
32;64;3.63
37;74;3.59
31;62;3.8
33;68;4.0
27;76;4.12
33;72;4.25
36;72;4.38
36;72;4.59
36;72;4.68
41;83;4.93
38;75;5.0
39;78;4.9
31;62;4.82
33;68;4.98
33;84;4.91
42;95;4.95
49;98;4.99
36;71;4.88
41;82;5.0
42;84;4.99
40;80;5.0
41;82;4.77
37;74;4.91
43;85;5.0
37;75;4.97
36;74;5.0
39;76;5.0
38;76;5.0
36;72;4.86
47;94;4.86
34;68;4.88
51;102;4.9
38;76;4.7
