TIMESTAMP;CGROUP;LLC_MISSES;PERF_COUNT_SW_CPU_CLOCK;MEMORY_ANON;MEMORY_FILE
1695035740.452855;#SYSTEM;53794;241010394;361181184;29517549568
1695035740.452855;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695035740.452855;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695035740.452855;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;331776
1695035740.452855;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;10074;1076909;1740800;20480
1695035741.350495;#SYSTEM;5676316;11972075775;359075840;29517574144
1695035741.350495;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695035741.350495;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695035741.350495;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;331776
1695035741.350495;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;59230;1773833;1761280;20480
1695035742.349682;#SYSTEM;5144203;11971535417;407130112;29545308160
1695035742.349682;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695035742.349682;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695035742.349682;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;331776
1695035742.349682;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;34960;1752141;1761280;20480
1695035743.580937;#SYSTEM;14824095;12024784033;467652608;29600862208
1695035743.580937;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695035743.580937;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695035743.580937;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;331776
1695035743.580937;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;59660;3082778;1798144;20480
1695035743.580937;/sys/fs/cgroup/system.slice/docker-b1f0a6220b2c096c61a8462853b970176819c1f8b358a3c4a4492e0ed692079f.scope;6637;467161;75374592;55238656
1695035744.354572;#SYSTEM;8537380;11966475135;499707904;29617876992
