TIMESTAMP;CPU;RAM;GPU;FREQ0;FREQ1;FREQ2;FREQ3;FREQ4;FREQ5;FREQ6;FREQ7;FREQ8;FREQ9;FREQ10;FREQ11
1694592892.376875;3.22449;0.398193;0;2992141;3786710;3419998;3335064;3196601;1200092;3466114;3779519;3796395;2758875;3265933;3081070
1694592893.246709;40.7877;5.45055;0;3641778;2831996;2326219;3688458;3347856;2383587;3561897;3082574;3204686;3186715;3446728;2423292
1694592894.460834;76.1563;10.4006;0;2771332;3739293;3799952;3304921;3800013;3795380;3399422;3509794;1218088;3212975;1456218;3802904
1694592895.244774;116.411;15.4284;0;3629182;3405452;3467946;3267098;2841028;3263582;3678095;3090545;3423951;3424294;3024631;3095964
1694592896.460943;147.842;19.9522;0;3575898;1624522;3827438;3108604;3495483;2360640;1886588;1200177;3861908;1200524;2816517;1200062
1694592897.242309;187.179;25.0844;0;2661077;2782397;3283873;2761667;2762923;3212113;3382587;3409794;3815435;3282547;3394451;3372412
1694592898.242481;226.807;30.1151;0;2732214;3245847;3080896;3397198;3464567;2697835;2907068;3390732;3462893;2765261;2743801;3008655
1694592899.240553;248.584;34.6421;0;1587363;1222028;1591812;1469384;1401683;1539863;1347257;1220405;1575748;1591314;1419509;1608216
1694592900.239953;274.419;39.3018;0;1365061;1366478;1461495;1728364;1285868;1228782;1240112;1270286;1399362;2207555;1327394;1342580
1694592901.238899;306.988;44.3835;0;2026610;1552420;2564564;1867519;1309129;1348511;1308249;1327229;1569893;1413844;1909614;1686567
1694592902.237748;340.749;49.5345;0;1634214;1411945;1707800;3395822;2093899;1376958;1469689;1574949;1682283;2235122;1600978;1476698
1694592903.236753;372.547;54.2446;0;2280005;2577529;2673399;3361839;3280769;2917588;3406226;2750344;2199338;2441485;2292868;3148715
1694592904.380849;426.529;59.6185;0;3727474;3800005;2536720;3598555;3642346;3799998;3798771;3798807;3142952;3796422;3799995;3790616
1694592905.234999;486.169;65.2169;0;3737805;3682942;3655776;3768181;3791220;3463789;3691515;3664413;3679928;3753547;3793488;3539132
1694592906.235330;522.5;69.9151;0;2921043;3396698;3461943;3644639;2709847;2912356;3690908;2483039;3296430;3232170;2896758;3282052
1694592907.234161;538.839;73.4818;0;1425188;1773619;1381149;1237534;1401592;1290172;1293253;1242163;1321860;1249271;1318121;1488191
1694592908.233361;556.452;77.4508;0;1330713;1356246;1302792;1227023;1297166;1868251;1281271;1268505;1531091;1266900;1288646;1305801
1694592909.232561;573.97;81.409;0;1294373;1283794;1301656;1210423;1243024;1356276;1299859;1396196;1323929;1211766;1254397;1313880
1694592910.231814;591.656;85.4321;0;1356935;1277579;1217161;1215904;1303985;1534213;1329914;1641113;1244547;1220001;1340116;1307698
1694592911.230597;611.929;89.7766;0;1364130;1243674;1200233;1204877;1276857;1826978;3653216;1243450;1203161;1220897;1318132;1523435
1694592912.230074;635.924;94.0411;0;1430608;3032661;2003213;1683476;1210770;1655744;2860128;1322616;2767905;2315819;1290653;2822611
1694592913.228070;670.733;98.9918;0;2074975;3484103;2783139;1488333;1711885;3788563;1937362;3027749;2401282;1588508;1694453;3586844
