TIMESTAMP;CGROUP;LLC_MISSES;PERF_COUNT_SW_CPU_CLOCK;MEMORY_ANON;MEMORY_FILE
1695030492.328846;#SYSTEM;26898;24677759;421519360;29337071616
1695030492.328846;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695030492.328846;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695030492.328846;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;212992
1695030492.328846;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;9449;660078;1740800;225280
1695030493.163408;#SYSTEM;6563991;11963167922;420872192;29337083904
1695030493.163408;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695030493.163408;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695030493.163408;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;212992
1695030493.163408;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;78518;1654224;1761280;225280
1695030494.400902;#SYSTEM;7635686;12253433754;463908864;29365272576
1695030494.400902;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695030494.400902;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695030494.400902;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;212992
1695030494.400902;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;57801;2498388;1798144;225280
1695030494.400902;/sys/fs/cgroup/system.slice/docker-d98edce64dc7a9d1d427055a4cafaf4c2c170a429f73a8856947ea8593b57ea2.scope;12256;8083260;2945024;0
1695030495.170025;#SYSTEM;11961288;11775508948;528003072;29420589056
1695030495.170025;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695030495.170025;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695030495.170025;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;212992
1695030495.170025;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;62279;2409897;1822720;225280
1695030495.170025;/sys/fs/cgroup/system.slice/docker-d98edce64dc7a9d1d427055a4cafaf4c2c170a429f73a8856947ea8593b57ea2.scope;5170925;502914411;78098432;55275520
1695030496.344838;#SYSTEM;9513502;12008631958;506978304;29413064704
1695030496.344838;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695030496.344838;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695030496.344838;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;212992
1695030496.344838;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;64521;1895287;1847296;225280
1695030496.344838;/sys/fs/cgroup/system.slice/docker-d98edce64dc7a9d1d427055a4cafaf4c2c170a429f73a8856947ea8593b57ea2.scope;730699;59162859;81842176;70356992
1695030496.344838;/sys/fs/cgroup/system.slice/docker-66f5d332c9965f52c82cedc257e0b3a7d40373d329ac2a2f3df7bcf74bedfd50.scope;0;0;1806336;3497984
1695030497.159863;#SYSTEM;18702524;11799519592;512376832;29418643456
1695030497.159863;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695030497.159863;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695030497.159863;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;212992
1695030497.159863;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;51781;1289538;1847296;225280
1695030497.159863;/sys/fs/cgroup/system.slice/docker-d98edce64dc7a9d1d427055a4cafaf4c2c170a429f73a8856947ea8593b57ea2.scope;968522;61672902;84697088;71204864
1695030497.159863;/sys/fs/cgroup/system.slice/docker-66f5d332c9965f52c82cedc257e0b3a7d40373d329ac2a2f3df7bcf74bedfd50.scope;43444;1045668;1806336;3497984
1695030498.158668;#SYSTEM;7738220;11932676280;531161088;29438349312
1695030498.158668;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695030498.158668;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695030498.158668;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;212992
1695030498.158668;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;42382;1271919;1847296;225280
1695030498.158668;/sys/fs/cgroup/system.slice/docker-d98edce64dc7a9d1d427055a4cafaf4c2c170a429f73a8856947ea8593b57ea2.scope;1700973;177751278;96698368;86523904
1695030498.158668;/sys/fs/cgroup/system.slice/docker-66f5d332c9965f52c82cedc257e0b3a7d40373d329ac2a2f3df7bcf74bedfd50.scope;44651;1257542;1830912;3497984
1695030499.158193;#SYSTEM;1256627;11949163190;534994944;29453418496
1695030499.158193;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695030499.158193;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695030499.158193;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;212992
1695030499.158193;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;50127;1353417;1847296;225280
1695030499.158193;/sys/fs/cgroup/system.slice/docker-d98edce64dc7a9d1d427055a4cafaf4c2c170a429f73a8856947ea8593b57ea2.scope;512050;154035052;99065856;90091520
1695030499.158193;/sys/fs/cgroup/system.slice/docker-66f5d332c9965f52c82cedc257e0b3a7d40373d329ac2a2f3df7bcf74bedfd50.scope;26541;1097546;1830912;3497984
1695030500.157265;#SYSTEM;935157;11947539288;536403968;29467934720
1695030500.157265;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
1695030500.157265;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695030500.157265;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;212992
1695030500.157265;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;20170;1560000;1847296;229376
1695030500.157265;/sys/fs/cgroup/system.slice/docker-d98edce64dc7a9d1d427055a4cafaf4c2c170a429f73a8856947ea8593b57ea2.scope;316926;197602171;104464384;92938240
1695030500.157265;/sys/fs/cgroup/system.slice/docker-66f5d332c9965f52c82cedc257e0b3a7d40373d329ac2a2f3df7bcf74bedfd50.scope;29664;1072820;1830912;3497984
1695030501.156206;#SYSTEM;1416684;11930216448;543494144;29481783296
1695030501.156206;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;61440
