TIMESTAMP;PDU;CPU;RAM;GPU
1744722148.195029;0;1.82571;0;0
1744722149.194715;21.6;4.80678;0;0
1744722150.193275;46.8;9.01657;0;0
1744722151.192824;64.8;11.6136;0;0
1744722152.190879;86.4;14.5591;0;0
1744722153.191789;108;18.2758;0;0
1744722154.190964;126;20.6523;0;0
1744722155.190592;144;23.6259;0;0
1744722156.189581;165.6;27.4104;0;0
1744722157.189099;187.2;29.5544;0;0
1744722158.187439;205.2;32.6662;0;0
1744722159.187624;226.8;36.5273;0;0
1744722160.187568;248.4;38.6486;0;0
1744722161.184913;266.4;41.7636;0;0
1744722162.183819;295.2;47.5684;0;0
1744722163.182016;320.4;53.505;0;0
1744722164.182743;345.6;57.4624;0;0
1744722165.198667;367.2;60.9578;0;0
1744722166.182833;388.8;64.4364;0;0
1744722167.180308;406.8;66.9033;0;0
1744722168.181099;428.4;69.9421;0;0
1744722169.177943;450;72.7658;0;0
1744722170.179292;471.6;76.0437;0;0
1744722171.178602;489.6;78.952;0;0
1744722172.177528;511.2;81.8703;0;0
1744722173.175647;532.8;85.2505;0;0
1744722174.176373;550.8;87.8335;0;0
1744722175.173402;572.4;90.7639;0;0
1744722176.174892;590.4;94.3991;0;0
1744722177.172846;612;96.6746;0;0
1744722178.172904;633.6;99.6254;0;0
1744722179.171070;651.6;102.938;0;0
1744722180.187935;673.2;106.261;0;0
1744722181.169035;694.8;109.108;0;0
1744722182.176204;716.4;112.24;0;0
1744722183.168178;738;115.303;0;0
1744722184.167330;759.6;118.778;0;0
1744722185.166154;784.8;121.848;0;0
1744722186.165668;806.4;124.872;0;0
1744722187.164483;824.4;127.881;0;0
1744722188.164585;849.6;131.44;0;0
1744722189.178221;871.2;134.518;0;0
1744722190.162600;889.2;137.432;0;0
1744722191.158661;914.4;140.495;0;0
1744722192.161058;936;143.476;0;0
1744722193.160017;957.6;147.01;0;0
1744722194.158967;979.2;149.946;0;0
1744722195.158066;1000.8;153.024;0;0
1744722196.159018;1022.4;156.411;0;0
1744722197.171118;1044;159.78;0;0
1744722198.156563;1065.6;162.729;0;0
1744722199.155254;1087.2;165.749;0;0
1744722200.154857;1108.8;168.809;0;0
1744722201.152561;1130.4;172.323;0;0
1744722202.153981;1152;175.324;0;0
1744722203.152840;1173.6;178.246;0;0
1744722204.153168;1195.2;181.263;0;0
1744722205.149774;1216.8;184.659;0;0
1744722206.163983;1234.8;187.651;0;0
1744722207.151553;1256.4;191.84;0;0
1744722208.149720;1278;194.915;0;0
1744722209.148540;1299.6;198.066;0;0
1744722210.149674;1324.8;201.923;0;0
