TIMESTAMP;CPU;RAM;GPU;FREQ0;FREQ1;FREQ2;FREQ3;FREQ4;FREQ5;FREQ6;FREQ7;FREQ8;FREQ9;FREQ10;FREQ11
1694598732.236842;2.3526;0.222427;0;3711225;3734377;1200185;2867342;1200149;3468840;1967874;3799355;3800065;3590714;3663979;3100744
1694598733.47262;40.6882;5.29941;0;3732603;3493493;2774118;3123307;3388979;3100960;3476890;3472642;2967073;2936628;3120464;2835588
1694598734.280852;78.848;10.3471;0;3023566;1623281;1567512;2629429;3741041;3747897;3117048;2967429;3800004;3800004;3799327;3316474
1694598735.336874;123.503;15.7519;0;1200087;1200281;1331998;1986284;1793904;1200063;2825094;1200029;1213513;3232529;3708407;1594628
1694598736.58026;157.247;20.3336;0;2563455;2868915;3343238;2981399;2942106;2906655;2591955;3193336;3286091;3290437;3213328;3110895
1694598737.44977;198.101;25.5624;0;3245696;2939122;3822053;3165359;3012514;3174072;3339727;3036752;3560571;3556803;3357536;3139141
1694598738.44276;235.721;30.4873;0;3070946;2643795;3447566;3017668;3056175;3470490;2908855;2597796;3138090;2800403;3120649;3209203
1694598739.42496;257.141;35.1003;0;1404617;1462290;1725944;2208712;1577899;1353214;1421789;1424008;1535925;1640284;1506373;1251153
1694598740.41085;279.131;39.7268;0;1224196;1308524;1518809;1349297;2254691;1205550;1212220;1329735;1574245;1329045;1970379;1204432
1694598741.40450;306.561;44.7051;0;2093545;1530636;1358005;1804909;2227670;3437034;1767034;1430604;1553094;1693568;1634107;1774148
1694598742.39631;340.554;49.8205;0;1416152;1982555;1694766;2051565;1809226;1414689;1331790;1772202;1685695;3061558;1848239;1673380
1694598743.304831;374.74;54.648;0;1719934;3799513;3760800;1238045;2891613;1200389;2566461;2589192;2039380;2170553;3325220;3798847
1694598744.54268;430.364;60.0388;0;3802141;3715366;3731765;3694133;3670349;3668888;3760859;3673401;3776553;3402417;3738832;3661550
1694598745.36642;488.402;65.6176;0;3803891;3629705;3679364;3636375;3711181;3723457;3799817;3602266;3657569;3638787;3752257;3678791
1694598746.36952;521.916;70.2223;0;3638626;3407761;1989668;3343449;2859451;3157315;2348390;2290324;2990048;3492193;2261384;3260334
1694598747.35833;539.417;74.1469;0;1244001;1265210;1359735;1213573;1306158;1681190;1281045;1258383;1326001;1211417;1376717;1395804
1694598748.34904;557.419;78.2083;0;2000431;1588059;1308578;1264942;1546791;1309477;1312727;1306866;1286402;1257343;1383348;1268749
1694598749.34174;575.277;82.3051;0;1210399;1844260;1218740;1300354;1319912;1365956;1219801;1241950;1220367;1298801;1278642;1275582
1694598750.33399;593.372;86.4194;0;1292355;1505900;1216794;1212608;1400362;1539976;1275014;1218923;1226477;1214616;1315958;1313796
1694598751.32229;617.982;90.9277;0;1587078;1456111;1622710;1232078;1204690;3756602;2038518;1500696;3261557;1215611;1513301;2251214
1694598752.30379;644.512;95.4557;0;1860764;3099050;1528610;1757168;2662334;3473621;2079156;2995292;1555959;2175206;1592495;2992212
1694598753.29579;685.618;100.71;0;2075402;3532231;2163893;3126337;2757560;2619058;2779934;3445163;2983473;3740969;2406896;3432203
1694598754.29830;705.169;104.389;0;1328193;3360013;2415872;2659175;1329387;1458457;1536255;1609341;1381814;1231202;1725175;1747278
1694598755.29034;723.121;108.454;0;1272318;1349554;1260709;1341158;1255924;1234446;1407016;1977886;1271347;1299748;1262104;1281482
1694598756.28215;740.925;112.47;0;1286737;2066244;1266610;1415004;1305835;1277681;1428906;1406911;1312936;1270032;1286123;1323931
1694598757.27318;758.859;116.661;0;1247042;1288177;1938775;1204173;1220570;1222806;1263343;1246125;1513744;1207167;1250720;1332687
1694598758.26295;783.695;121.1;0;1754363;3350373;1814525;1372060;1329673;1333092;1529903;1536213;3633287;2248320;1268549;1693968
