TIMESTAMP;CPU;RAM;GPU;FREQ0;FREQ1;FREQ2;FREQ3;FREQ4;FREQ5;FREQ6;FREQ7;FREQ8;FREQ9;FREQ10;FREQ11
1694593977.128872;1.96051;0.180832;0;3799109;3799848;3621205;1432346;1200043;3708843;3583366;3800051;2665481;3121407;3606563;3330174
1694593977.980557;40.8766;5.28252;0;3077607;3450718;3211743;3495699;2960866;3379738;3110643;3020736;3708245;3534167;3308589;3141637
1694593979.228918;78.2892;10.2697;0;3798088;3799812;3799419;3800010;3800021;3832777;3330072;3361807;2172250;3692389;3386620;3793837
1694593979.978378;120.579;15.335;0;3259472;3325282;3554615;3409415;3421940;3643588;3360561;3455572;3731542;3449831;3161088;2874039
1694593981.188984;151.219;19.9113;0;1835258;3493157;3799965;3381350;3800038;2511421;3623165;3670113;2695244;2084363;3843642;1200017
1694593981.975997;187.264;24.8452;0;2648941;3203787;2739040;3426230;3324944;2576594;2290401;2752656;3234221;3534015;3729231;2465349
1694593982.975425;230.158;29.9341;0;3085060;3098314;3402450;3405519;3344796;3198549;3059430;3119053;3539119;3456591;3129468;3354710
1694593983.974752;253.028;34.4467;0;1431084;1616993;1372540;1350101;1570945;1759218;2023140;1970153;1641712;1289293;1446380;1361656
1694593984.973501;278.25;39.0912;0;1578287;1225587;1228269;1322229;1702106;1994964;1916832;1732019;1546288;1523001;1423417;1652954
1694593985.972697;305.932;44.0447;0;1487977;1737930;2512212;1429455;1755983;3036202;1475721;1523863;1449000;1863646;1545871;1914765
1694593986.971972;340.472;49.1153;0;1325456;1718455;2492012;3382539;1610299;2076631;2613963;1287702;1908133;2018125;1569592;1785778
1694593987.970542;366.732;53.7878;0;2272588;2736214;2145883;3020698;3028653;2657388;2461883;2327556;2204744;2290083;2621518;2632631
1694593989.144848;417.849;59.1096;0;3800023;3800025;3680366;3800000;3800002;3740013;3800007;3631419;3800000;3800007;3800014;3711587
1694593989.985882;479.121;64.6803;0;3792092;3742570;3728491;3765044;3601166;3798646;3778264;3766111;3742294;3737805;3694565;3775876
1694593990.968905;521.826;69.6365;0;3171954;3657094;3251680;3644863;3434773;3516609;3360116;3333064;3338715;3774756;3134300;3626229
1694593991.967904;538.927;73.4638;0;1375609;1417522;1559275;1296222;1526551;1352769;1282476;1230942;1437430;1250467;1285297;1715330
1694593992.966814;556.911;77.5163;0;1503887;1309993;1346629;1636781;1809178;1347903;1422282;1324530;2069208;1232012;1275381;1266020
1694593993.966250;574.635;81.4557;0;1385300;1322955;1319241;1360403;1376973;1249625;1299111;1297687;1264339;1444971;1261457;1253392
1694593994.965188;592.647;85.616;0;1279736;1294381;1362880;1322518;1237870;1284002;1330314;1283915;2315763;1352632;1479838;1303534
1694593995.964666;616.308;90.0704;0;1456645;1284348;1252333;1846466;3080955;1514814;1230842;1416582;2332409;1760172;1715297;3720697
1694593996.963097;637.211;94.234;0;1824195;2172567;2574137;1714580;1272203;1332078;3009594;2028817;2467587;1502755;2576318;1219228
1694593997.961640;677.867;99.5212;0;2891991;3793707;2061745;3604490;3306433;1720362;2609842;3703305;1944422;3627968;2965109;2038995
1694593998.962258;703.415;103.597;0;2609748;3236485;1337942;1700160;3107187;1583259;1653747;1629262;2047254;3651799;2703858;2212676
1694593999.961090;720.619;107.499;0;1393761;1321623;1651603;1276751;1238140;1320675;1461948;1489022;1316803;1312156;1289172;1323693
1694594000.960275;738.527;111.573;0;1218119;1256768;1589874;1409005;1500002;1431656;1696368;1504496;1334159;2117284;1297402;1387640
1694594001.959566;756.536;115.683;0;1285324;1265971;1769306;1267989;1245130;1524679;1298622;1355422;1352715;1935992;1296226;1225251
1694594002.958204;779.93;120.153;0;1449144;1430612;1305464;1593284;1622813;1479534;1377598;1278772;2448957;3735116;3459647;1523567
1694594003.957118;806.945;125.147;0;1281501;1419433;1967101;1345873;1307357;1255501;1314077;1617516;1219526;2515156;2561335;1278558
1694594005.228908;844.071;130.236;0;3799610;1969629;2422074;1415152;1200004;3432674;3797338;3800009;2156953;3509084;3083139;1212155
1694594005.955232;890.576;135.395;0;3572596;3513804;3315782;3644516;3568696;3636233;3746505;3532895;2934912;3696890;3804649;3620556
1694594006.954902;952.082;141.186;0;3663866;3682311;3761083;3794257;3645758;3764376;3674185;3633233;3642251;3762804;3588404;3774023
1694594007.954601;981.58;145.58;0;3361361;2588728;3087012;2996437;2694477;3023253;3061895;3117511;2963703;2752518;2657456;3211178
1694594008.954239;997.128;148.909;0;1235697;1241089;1223955;1217318;1240072;1261001;1209521;1233639;1306744;1244430;1200882;1237848
1694594009.953136;1012.36;152.195;0;1209086;1200104;1369090;2785730;1200164;1228508;1221283;1200109;1205422;1852734;1200076;1210724
1694594010.951786;1047.16;156.909;0;3132872;3374656;3140712;3311496;3056936;2987157;2690333;3409554;3044797;3266936;2908838;2703830
1694594011.951987;1068.14;160.53;0;2548265;2327772;3124643;2311417;1586472;1374337;1349850;1407775;2122043;2777264;1921941;3135819
