TIMESTAMP;PDU;CPU;RAM;GPU
1745306089.931671;0;1.92867;0;0
1745306090.930856;21.6;4.92926;0;0
1745306091.929933;43.2;9.22636;0;0
1745306092.932093;64.8;11.8486;0;0
1745306093.930469;82.8;14.8313;0;0
1745306094.929443;104.4;18.5312;0;0
1745306095.927583;122.4;21.0155;0;0
1745306096.929221;144;24.0599;0;0
1745306097.925283;165.6;27.7997;0;0
1745306098.924136;183.6;30.0725;0;0
1745306099.923859;205.2;33.061;0;0
1745306100.924780;223.2;36.8592;0;0
1745306101.923009;244.8;38.9118;0;0
1745306102.921617;266.4;43.1593;0;0
1745306103.921956;288;46.3937;0;0
1745306104.934978;306;49.5517;0;0
1745306105.919146;327.6;52.3216;0;0
1745306106.916790;345.6;55.3111;0;0
1745306107.918272;367.2;58.2533;0;0
1745306108.917907;385.2;60.5319;0;0
1745306109.916765;403.2;63.2124;0;0
1745306110.915608;424.8;66.1374;0;0
1745306111.914271;442.8;68.6988;0;0
1745306112.915010;460.8;71.0878;0;0
1745306113.914492;482.4;73.993;0;0
1745306114.912487;500.4;76.81;0;0
1745306115.910556;518.4;78.9053;0;0
1745306116.911645;540;82.0272;0;0
1745306117.909906;558;84.9583;0;0
1745306118.911753;576;87.1635;0;0
1745306119.909315;597.6;90.4406;0;0
1745306120.907531;619.2;93.9726;0;0
1745306121.923818;640.8;97.2969;0;0
1745306122.906177;662.4;100.455;0;0
1745306123.920305;684;103.786;0;0
1745306124.902441;702;106.856;0;0
1745306125.902957;723.6;110.546;0;0
1745306126.901669;745.2;113.86;0;0
1745306127.902510;766.8;117.196;0;0
1745306128.921746;788.4;120.839;0;0
1745306129.900745;810;123.805;0;0
1745306130.897929;831.6;127.046;0;0
1745306131.897947;849.6;130.101;0;0
1745306132.896187;874.8;133.774;0;0
1745306133.897066;892.8;136.974;0;0
1745306134.894277;914.4;140.276;0;0
1745306135.892621;939.6;143.941;0;0
1745306136.910105;957.6;147.061;0;0
1745306137.892314;979.2;150.219;0;0
1745306138.890547;1000.8;153.317;0;0
1745306139.889288;1022.4;156.99;0;0
1745306140.887942;1040.4;160.045;0;0
1745306141.888987;1062;163.269;0;0
1745306142.887969;1083.6;166.871;0;0
1745306143.910088;1105.2;170.121;0;0
1745306144.885845;1126.8;173.197;0;0
1745306145.885703;1144.8;176.312;0;0
1745306146.883281;1170;180.051;0;0
1745306147.883237;1188;183.2;0;0
1745306148.883252;1209.6;186.182;0;0
1745306149.884927;1227.6;188.237;0;0
1745306150.881582;1245.6;190.242;0;0
1745306151.880344;1263.6;192.27;0;0
1745306152.880512;1281.6;194.294;0;0
1745306153.879789;1296;196.324;0;0
1745306154.879730;1314;198.341;0;0
1745306155.877794;1332;200.348;0;0
1745306156.878987;1350;202.369;0;0
1745306157.876509;1368;204.379;0;0
1745306158.876826;1386;206.415;0;0
1745306159.875840;1404;208.523;0;0
1745306160.876210;1422;210.551;0;0
1745306161.872711;1440;212.567;0;0
1745306162.875223;1458;214.591;0;0
1745306163.873600;1472.4;216.599;0;0
1745306164.873331;1490.4;218.602;0;0
1745306165.871382;1508.4;220.645;0;0
1745306166.871343;1526.4;222.674;0;0
1745306167.869791;1544.4;224.664;0;0
1745306168.869399;1562.4;226.701;0;0
1745306169.869523;1580.4;228.711;0;0
1745306170.868630;1598.4;230.723;0;0
1745306171.868540;1616.4;232.765;0;0
1745306172.866494;1630.8;234.796;0;0
1745306173.866291;1648.8;236.854;0;0
1745306174.866053;1666.8;238.89;0;0
1745306175.865087;1684.8;240.912;0;0
1745306176.864214;1702.8;242.923;0;0
1745306177.863512;1720.8;244.961;0;0
1745306178.864476;1738.8;246.964;0;0
1745306179.862750;1753.2;248.963;0;0
1745306180.862782;1771.2;250.958;0;0
1745306181.861859;1789.2;252.962;0;0
1745306182.861859;1807.2;254.974;0;0
1745306183.859934;1825.2;257;0;0
1745306184.859292;1843.2;259.02;0;0
1745306185.860251;1861.2;261.048;0;0
1745306186.858276;1875.6;263.07;0;0
1745306187.858399;1893.6;265.08;0;0
1745306188.856284;1911.6;267.086;0;0
1745306189.856310;1929.6;269.114;0;0
1745306190.855542;1947.6;271.121;0;0
1745306191.855499;1965.6;273.136;0;0
1745306192.853761;1983.6;275.138;0;0
1745306193.853969;1998;277.161;0;0
1745306194.852613;2016;279.19;0;0
1745306195.852371;2034;281.206;0;0
1745306196.850949;2052;283.235;0;0
1745306197.849923;2080.8;295.759;0;0
1745306198.848287;2134.8;320.653;0;0
1745306199.847248;2185.2;345.569;0;0
1745306200.846142;2235.6;370.485;0;0
1745306201.846023;2286;395.429;0;0
1745306202.844629;2336.4;420.345;0;0
1745306203.842776;2386.8;445.264;0;0
1745306204.845225;2437.2;470.258;0;0
1745306205.844685;2484;495.176;0;0
1745306206.844547;2534.4;520.118;0;0
1745306207.842836;2584.8;545.009;0;0
1745306208.842269;2635.2;569.951;0;0
1745306209.841171;2685.6;594.842;0;0
1745306210.840579;2736;619.784;0;0
1745306211.839726;2786.4;644.704;0;0
1745306212.837621;2836.8;669.594;0;0
1745306213.837613;2887.2;694.536;0;0
1745306214.835698;2937.6;719.43;0;0
1745306215.835642;2988;744.375;0;0
1745306216.835117;3038.4;769.318;0;0
1745306217.834323;3088.8;794.235;0;0
1745306218.832928;3139.2;819.151;0;0
1745306219.830511;3189.6;844.019;0;0
1745306220.831134;3240;868.986;0;0
1745306221.830878;3290.4;893.906;0;0
1745306222.829559;3340.8;918.821;0;0
1745306223.828429;3391.2;943.729;0;0
1745306224.827462;3441.6;968.646;0;0
1745306225.826562;3492;993.562;0;0
1745306226.824480;3542.4;1018.45;0;0
1745306227.825659;3592.8;1043.42;0;0
1745306228.825129;3639.6;1068.36;0;0
1745306229.823986;3690;1093.29;0;0
1745306230.822944;3740.4;1118.21;0;0
1745306231.821877;3790.8;1143.07;0;0
1745306232.820917;3841.2;1167.96;0;0
1745306233.820296;3891.6;1192.26;0;0
1745306234.819025;3938.4;1217.12;0;0
1745306235.818945;3988.8;1242.03;0;0
1745306236.814950;4039.2;1266.87;0;0
1745306237.817280;4089.6;1291.69;0;0
1745306238.815362;4140;1316.49;0;0
1745306239.814788;4186.8;1341.44;0;0
1745306240.813897;4237.2;1365.53;0;0
1745306241.812677;4287.6;1390.39;0;0
1745306242.811536;4338;1414.51;0;0
1745306243.810986;4384.8;1439.46;0;0
1745306244.809743;4435.2;1463.67;0;0
1745306245.809459;4482;1488.59;0;0
1745306246.808024;4532.4;1513.5;0;0
1745306247.804951;4582.8;1538.3;0;0
1745306248.805506;4633.2;1562.53;0;0
1745306249.803630;4680;1587.41;0;0
1745306250.803615;4730.4;1612.35;0;0
1745306251.801032;4780.8;1636.73;0;0
1745306252.801656;4831.2;1661.51;0;0
1745306253.799693;4881.6;1686.36;0;0
1745306254.799615;4928.4;1710.66;0;0
1745306255.797100;4978.8;1734.15;0;0
1745306256.797977;5025.6;1757.9;0;0
1745306257.794243;5072.4;1781.24;0;0
1745306258.793969;5119.2;1803.56;0;0
1745306259.792190;5166;1828.44;0;0
1745306260.792048;5216.4;1851.75;0;0
1745306261.790294;5263.2;1875.66;0;0
1745306262.789507;5310;1898.99;0;0
1745306263.787137;5356.8;1922.81;0;0
1745306264.787162;5403.6;1945.89;0;0
1745306265.785113;5450.4;1969.92;0;0
1745306266.785467;5497.2;1991.96;0;0
1745306267.784759;5544;2016.23;0;0
1745306268.783706;5590.8;2039.03;0;0
1745306269.783215;5637.6;2062.48;0;0
1745306270.782540;5684.4;2085.12;0;0
1745306271.779627;5731.2;2107.74;0;0
1745306272.780816;5778;2131.67;0;0
1745306273.777763;5828.4;2155.38;0;0
1745306274.778128;5875.2;2178.49;0;0
1745306275.777735;5922;2203.38;0;0
1745306276.776143;5968.8;2226.05;0;0
1745306277.775028;6015.6;2248.07;0;0
1745306278.774379;6062.4;2270.36;0;0
1745306279.773380;6109.2;2293.79;0;0
1745306280.773500;6156;2317.77;0;0
1745306281.770717;6202.8;2341.1;0;0
1745306282.771681;6249.6;2365.16;0;0
1745306283.769150;6300;2389.8;0;0
1745306284.768887;6350.4;2414.69;0;0
1745306285.768048;6400.8;2439.5;0;0
1745306286.767054;6447.6;2464.14;0;0
1745306287.766133;6498;2488.25;0;0
1745306288.765298;6548.4;2512.67;0;0
1745306289.763297;6595.2;2535.82;0;0
1745306290.764373;6642;2558.9;0;0
1745306291.761309;6688.8;2580.84;0;0
1745306292.762332;6735.6;2605.86;0;0
1745306293.759549;6782.4;2629.72;0;0
1745306294.758416;6829.2;2651.96;0;0
