HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;1.17
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;10;2.27
27;22;3.43
65;0;3.63
70;0;3.83
56;0;3.62
80;0;3.78
76;0;3.74
73;0;3.52
76;0;3.72
68;0;3.74
69;7;3.97
92;7;3.87
89;0;3.98
103;0;4.04
82;0;4.02
104;0;4.19
88;0;4.13
87;0;4.15
92;0;4.16
84;0;4.25
88;3;4.3
92;7;4.33
81;0;4.22
95;0;4.27
103;0;4.4
90;0;4.25
88;0;4.14
114;0;4.07
88;0;4.15
102;0;4.12
96;4;4.29
98;4;4.18
97;2;4.19
108;0;4.23
94;0;4.23
107;0;4.35
127;0;4.35
104;0;4.36
117;0;4.28
98;0;4.32
115;0;4.45
107;0;4.49
118;0;4.37
91;0;4.45
100;0;4.41
106;0;4.45
104;0;4.26
90;0;4.26
106;0;4.38
92;0;4.34
98;0;4.22
98;0;4.3
136;0;4.46
125;0;4.34
105;0;4.26
139;0;4.38
122;0;4.42
104;0;4.34
97;0;4.3
119;0;4.3
106;3;4.3
95;7;4.27
86;1;4.31
131;0;4.58
133;0;4.34
123;0;4.19
104;0;4.35
113;0;4.27
101;0;4.07
