TIMESTAMP;CGROUP;LLC_MISSES;PERF_COUNT_SW_CPU_CLOCK;MEMORY_ANON;MEMORY_FILE
1694603862.717021;#SYSTEM;22927;24905523;422903808;29344804864
1694603862.717021;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603862.717021;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603862.717021;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603862.717021;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;10931;588081;1736704;16384
1694603863.559193;#SYSTEM;6178163;11966344054;421965824;29344948224
1694603863.559193;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603863.559193;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603863.559193;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603863.559193;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;80404;1855225;1757184;16384
1694603864.816966;#SYSTEM;6063400;12250578180;464515072;29371568128
1694603864.816966;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603864.816966;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603864.816966;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603864.816966;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;48630;1715424;1794048;16384
1694603865.573997;#SYSTEM;14807570;11867264777;523616256;29426892800
1694603865.573997;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603865.573997;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603865.573997;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603865.573997;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;73850;4540232;1818624;16384
1694603865.573997;/sys/fs/cgroup/system.slice/docker-4bff6c2383aeb85e668f411e31fa1e4a27f17d2362ede44649e50085bb80f477.scope;3984;3055793;78057472;55238656
1694603866.574195;#SYSTEM;9245079;11968147279;549961728;29442142208
1694603866.574195;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603866.574195;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603866.574195;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603866.574195;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;85829;3039524;1843200;16384
1694603866.574195;/sys/fs/cgroup/system.slice/docker-4bff6c2383aeb85e668f411e31fa1e4a27f17d2362ede44649e50085bb80f477.scope;719828;66652261;81833984;70316032
1694603866.574195;/sys/fs/cgroup/system.slice/docker-da8bba4c9ee34fe0a10ae0aaab8ca65126b54440c01885f874baf214a493da17.scope;0;0;1806336;0
1694603867.555857;#SYSTEM;19487801;11751032758;518078464;29416329216
1694603867.555857;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603867.555857;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603867.555857;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603867.555857;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;64993;1240317;1843200;16384
1694603867.555857;/sys/fs/cgroup/system.slice/docker-4bff6c2383aeb85e668f411e31fa1e4a27f17d2362ede44649e50085bb80f477.scope;1017487;53006352;84348928;70955008
1694603867.555857;/sys/fs/cgroup/system.slice/docker-da8bba4c9ee34fe0a10ae0aaab8ca65126b54440c01885f874baf214a493da17.scope;47601;994304;1835008;0
1694603868.555746;#SYSTEM;7267570;11935198831;539279360;29433905152
1694603868.555746;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603868.555746;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603868.555746;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603868.555746;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;53883;1273559;1843200;16384
1694603868.555746;/sys/fs/cgroup/system.slice/docker-4bff6c2383aeb85e668f411e31fa1e4a27f17d2362ede44649e50085bb80f477.scope;1493223;184974489;96452608;86339584
1694603868.555746;/sys/fs/cgroup/system.slice/docker-da8bba4c9ee34fe0a10ae0aaab8ca65126b54440c01885f874baf214a493da17.scope;39924;1050123;1835008;0
1694603869.554496;#SYSTEM;1394921;11946442409;541569024;29448945664
1694603869.554496;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603869.554496;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603869.554496;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603869.554496;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;57667;1886567;1843200;16384
1694603869.554496;/sys/fs/cgroup/system.slice/docker-4bff6c2383aeb85e668f411e31fa1e4a27f17d2362ede44649e50085bb80f477.scope;558277;167512291;98746368;89710592
1694603869.554496;/sys/fs/cgroup/system.slice/docker-da8bba4c9ee34fe0a10ae0aaab8ca65126b54440c01885f874baf214a493da17.scope;38524;1239042;1835008;0
1694603870.553720;#SYSTEM;1013746;11945035964;542101504;29462429696
1694603870.553720;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603870.553720;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603870.553720;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603870.553720;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;19973;1540555;1843200;20480
1694603870.553720;/sys/fs/cgroup/system.slice/docker-4bff6c2383aeb85e668f411e31fa1e4a27f17d2362ede44649e50085bb80f477.scope;330352;219893481;103284736;91492352
1694603870.553720;/sys/fs/cgroup/system.slice/docker-da8bba4c9ee34fe0a10ae0aaab8ca65126b54440c01885f874baf214a493da17.scope;28880;1309660;1835008;0
1694603871.552529;#SYSTEM;1291693;11934509048;549675008;29476478976
1694603871.552529;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603871.552529;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603871.552529;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603871.552529;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;20119;1647705;1843200;20480
1694603871.552529;/sys/fs/cgroup/system.slice/docker-4bff6c2383aeb85e668f411e31fa1e4a27f17d2362ede44649e50085bb80f477.scope;732297;337395168;110858240;93843456
1694603871.552529;/sys/fs/cgroup/system.slice/docker-da8bba4c9ee34fe0a10ae0aaab8ca65126b54440c01885f874baf214a493da17.scope;28962;1018740;1835008;0
1694603872.551815;#SYSTEM;1508778;11921409109;558911488;29499138048
1694603872.551815;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694603872.551815;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694603872.551815;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694603872.551815;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;18043;1295852;1843200;20480
