TIMESTAMP;CPU;RAM;GPU;FREQ0;FREQ1;FREQ2;FREQ3;FREQ4;FREQ5;FREQ6;FREQ7;FREQ8;FREQ9;FREQ10;FREQ11
1694604836.208837;2.95709;0.287415;0;3799610;3800003;3597152;3596091;3714229;3799407;1330018;1700821;3790262;3800087;1206089;2449564
1694604837.60369;38.6312;5.11955;0;2772670;3690170;3413716;3431628;2556927;3304759;2790298;3571463;2673791;2870994;2971650;2807047
1694604838.312949;72.6345;9.84447;0;1492066;1290227;3019810;1200093;1323892;3868768;2564982;3799995;3795209;3521983;3798399;2311592
1694604839.74223;114.961;14.8766;0;3566098;3090108;3651216;3277705;3423980;3460330;3208860;3456955;3008850;3229543;3458955;3494791
1694604840.73954;150.601;19.6116;0;1863448;3036610;2808929;3252175;2925981;2403800;1600209;2827021;3080625;2716648;3130177;2707849
1694604841.56624;188.158;24.7016;0;2819199;3605631;2657433;2434110;3017231;2945187;3679147;3579112;3010303;2583903;2337193;2604025
1694604842.55847;232.64;29.8454;0;3453958;3452234;3405692;3348804;3583383;3586614;3513163;3165051;3468640;3249980;3486693;2996453
1694604843.54319;263.005;34.5567;0;1945520;3257805;2386965;3359424;2023300;1602823;2490018;1916107;2480373;2337548;2898602;1658563
1694604844.53449;292.001;39.3923;0;1218803;1438327;2078303;1220917;1890183;1494263;1241130;1569955;1523387;1217584;1680594;1473746
1694604845.52243;324.015;44.2603;0;1200094;1498273;1457966;3193282;1610095;1447000;1200442;1807807;1667349;1232418;1889203;1421448
1694604846.51445;358.99;49.5428;0;1761141;1949977;2409358;1609611;1793429;2177258;1479551;1669262;1702849;1495599;1975538;3031126
1694604847.50322;386.13;54.2114;0;1291229;1596238;1844525;1954828;1721516;2127653;1900968;1433978;1801000;2204067;1534731;2859838
1694604848.276841;430.794;59.4098;0;3800326;1979526;3772606;3791258;3810428;2797524;3798191;3800039;3800018;3800001;3778321;3765624
1694604849.62367;492.651;65.0358;0;3765090;3696997;3679837;3710386;3725267;3737972;3772771;3696335;3742477;3743035;3788558;3715086
1694604850.47315;544.918;70.5164;0;3760403;3594808;3579104;3720284;3131834;3051484;3785502;3727017;3577682;3624976;3475954;3165663
1694604851.47776;566.897;74.3989;0;3671433;1672990;1446656;2898226;2614916;1764374;1739864;3177140;2378144;1915944;2034217;2218889
1694604852.46799;584.882;78.4126;0;1420721;1238109;1624464;1324538;1233371;1453158;1408812;1291755;1294117;1413256;1289703;1297303
1694604853.46030;602.89;82.4443;0;1349144;1308020;1324964;1283509;1431013;1355491;1319039;1432145;1323940;1289499;1311084;1375343
1694604854.45058;620.74;86.4504;0;1281427;1359121;1279906;1227400;1338477;1332069;1235417;1469689;1274350;1328126;1353647;1302726
1694604855.44213;641.334;90.81;0;1389854;1269477;1376112;1214893;1305617;3818413;1287757;1241355;1346214;1297718;1838410;1735648
