HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;30;1.22
20;40;1.24
17;35;1.44
25;50;1.72
24;47;1.6
26;52;1.73
29;58;2.07
26;53;2.16
25;49;2.2
25;57;2.48
27;77;2.58
33;67;2.63
30;59;2.84
31;62;2.87
30;60;3.02
35;70;3.26
34;70;3.51
37;71;3.61
34;69;3.71
30;66;4.06
29;79;4.08
31;65;4.12
37;74;4.41
40;80;4.61
36;72;4.83
37;74;4.92
43;86;5.49
34;68;5.34
34;68;5.5
30;63;5.65
42;108;6.05
40;83;6.19
43;86;6.52
34;68;6.65
40;80;6.84
45;90;7.13
39;78;7.16
48;96;7.43
42;84;7.6
39;78;7.71
42;84;7.95
34;68;8.04
39;78;8.26
44;88;8.58
38;76;8.61
40;80;8.87
43;86;8.96
46;92;9.43
36;73;9.44
48;95;9.87
40;80;9.94
42;84;10.22
49;98;10.41
46;92;10.67
37;74;10.69
41;82;11.01
38;76;11.32
38;76;11.4
38;76;11.61
38;76;11.85
38;97;12.07
35;73;12.15
35;76;12.39
44;88;12.58
48;96;12.75
43;86;12.86
47;94;13.27
36;72;13.32
42;84;13.43
40;86;13.63
38;91;13.62
31;68;13.73
34;72;13.82
42;83;13.83
42;84;13.88
43;86;13.98
43;86;13.91
40;80;13.98
43;86;13.78
39;90;13.9
32;73;13.92
44;94;13.95
34;71;13.96
55;110;14.24
46;93;14.13
43;87;14.32
41;81;14.22
48;95;14.61
35;71;14.49
46;109;14.51
28;59;14.26
38;85;14.35
40;80;14.32
44;88;14.25
34;68;14.23
41;83;14.31
42;83;14.33
35;70;14.11
37;74;14.06
40;80;14.26
23;46;13.9
36;72;14.07
31;62;13.82
31;62;14.0
29;58;13.78
