HITS;MISSES;MEMORY
35817;303;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;10;2.43
18;21;3.46
65;0;3.7
57;0;3.61
63;0;3.77
69;0;3.81
68;0;3.8
69;0;3.91
74;0;3.9
74;0;3.96
69;5;4.11
90;9;4.14
86;0;4.04
87;0;4.14
103;0;4.21
88;0;4.19
100;0;4.33
81;0;4.3
91;0;4.28
80;0;4.41
86;5;4.43
82;7;4.29
100;1;4.54
85;0;4.47
97;0;4.52
95;0;4.57
128;0;4.57
108;0;4.51
120;0;4.59
111;0;4.52
90;3;4.6
106;5;4.61
98;2;4.5
111;1;4.59
108;0;4.55
107;0;4.59
107;0;4.59
110;0;4.6
122;0;4.64
98;0;4.64
121;0;4.64
85;0;4.64
101;0;4.65
112;0;4.57
102;0;4.61
99;0;4.61
85;0;4.61
81;0;4.69
109;0;4.65
95;0;4.65
119;0;4.5
99;0;4.42
99;0;4.46
127;0;4.58
107;0;4.5
127;0;4.5
97;0;4.46
107;0;4.46
114;0;4.46
107;0;4.66
102;0;4.58
110;6;4.62
96;5;4.5
115;0;4.54
91;1;4.46
111;0;4.39
116;0;4.35
101;0;4.35
98;0;4.31
94;0;4.35
93;0;4.34
85;6;4.38
100;2;4.23
97;1;4.38
122;1;4.35
110;0;4.42
99;0;4.46
120;0;4.46
119;0;4.62
114;0;4.58
92;3;4.58
120;5;4.46
97;1;4.54
120;1;4.58
104;0;4.42
116;0;4.27
99;0;4.19
101;0;4.35
113;0;4.27
116;0;4.31
105;3;4.39
100;4;4.39
108;1;4.5
103;1;4.35
121;1;4.35
105;0;4.39
109;0;4.5
96;0;4.27
141;0;4.46
84;0;4.42
92;0;4.39
117;0;4.5
102;0;4.31
125;0;4.31
102;0;4.27
139;0;4.39
139;0;4.27
106;0;4.15
103;0;4.27
94;0;4.39
110;0;4.42
105;0;4.39
146;0;4.46
98;0;4.46
102;0;4.35
93;0;4.31
93;0;4.27
98;0;4.46
70;0;4.42
22;0;3.13
5;1;3.02
5;1;2.98
6;0;2.94
6;0;3.05
5;0;3.09
4;0;2.89
3;0;2.85
0;0;2.79
0;0;2.79
0;0;2.78
0;0;2.78
0;0;2.77
0;0;2.77
0;0;2.77
0;0;2.77
0;0;2.77
0;0;2.76
0;0;2.76
0;0;2.76
0;0;2.76
0;0;2.75
0;0;2.75
0;0;2.74
0;0;2.74
0;0;2.74
