TIMESTAMP;CGROUP;PERF_COUNT_SW_CPU_CLOCK;MEMORY_ANON;MEMORY_FILE
1744724939.858614;#SYSTEM;735706397;3051778048;328986624
1744724939.858614;/sys/fs/cgroup/apps/app1;0;0;0
1744724939.858614;/sys/fs/cgroup/apps/app2;0;0;4096
1744724939.858614;/sys/fs/cgroup/apps/app3;0;0;0
1744724939.858614;/sys/fs/cgroup/apps/app4;0;0;0
1744724939.858614;/sys/fs/cgroup/cache/cache1;0;0;0
1744724939.858614;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;520525;756068352;35614720
1744724939.858614;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;437520;695758848;311296
1744724939.858614;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;523570;695611392;212992
1744724939.858614;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;546832;696365056;212992
1744724940.855512;#SYSTEM;11957169344;3050627072;329244672
1744724940.855512;/sys/fs/cgroup/apps/app1;0;0;0
1744724940.855512;/sys/fs/cgroup/apps/app2;0;0;4096
1744724940.855512;/sys/fs/cgroup/apps/app3;0;0;0
1744724940.855512;/sys/fs/cgroup/apps/app4;0;0;0
1744724940.855512;/sys/fs/cgroup/cache/cache1;0;0;0
1744724940.855512;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;7503188;756068352;35614720
1744724940.855512;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;7626748;695758848;311296
1744724940.855512;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;7647171;695611392;212992
1744724940.855512;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;7922461;696365056;212992
1744724941.855876;#SYSTEM;11974189365;3093430272;348860416
1744724941.855876;/sys/fs/cgroup/apps/app1;0;0;0
1744724941.855876;/sys/fs/cgroup/apps/app2;0;0;4096
1744724941.855876;/sys/fs/cgroup/apps/app3;0;0;0
1744724941.855876;/sys/fs/cgroup/apps/app4;0;0;0
1744724941.855876;/sys/fs/cgroup/cache/cache1;0;0;0
1744724941.855876;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;7033589;756068352;35614720
1744724941.855876;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;7372964;695758848;311296
1744724941.855876;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;6695872;695611392;212992
1744724941.855876;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;6781280;696365056;212992
1744724942.856089;#SYSTEM;11979198283;3096002560;351985664
1744724942.856089;/sys/fs/cgroup/apps/app1;0;0;0
1744724942.856089;/sys/fs/cgroup/apps/app2;0;0;4096
1744724942.856089;/sys/fs/cgroup/apps/app3;0;0;0
1744724942.856089;/sys/fs/cgroup/apps/app4;0;0;0
1744724942.856089;/sys/fs/cgroup/cache/cache1;0;0;0
1744724942.856089;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;9992100;756068352;35762176
1744724942.856089;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;8087058;695758848;311296
1744724942.856089;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;8300103;695611392;212992
1744724942.856089;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;8669409;696365056;212992
1744724943.856149;#SYSTEM;11980566306;3095994368;352059392
1744724943.856149;/sys/fs/cgroup/apps/app1;0;0;0
1744724943.856149;/sys/fs/cgroup/apps/app2;0;0;4096
1744724943.856149;/sys/fs/cgroup/apps/app3;0;0;0
1744724943.856149;/sys/fs/cgroup/apps/app4;0;0;0
1744724943.856149;/sys/fs/cgroup/cache/cache1;0;0;0
1744724943.856149;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;7404026;756068352;35762176
1744724943.856149;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;7613438;695758848;311296
1744724943.856149;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;7632042;695611392;212992
1744724943.856149;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;7682885;696365056;212992
1744724944.854381;#SYSTEM;11960179170;3046977536;352063488
1744724944.854381;/sys/fs/cgroup/apps/app1;0;0;0
1744724944.854381;/sys/fs/cgroup/apps/app2;0;0;4096
1744724944.854381;/sys/fs/cgroup/apps/app3;0;0;0
1744724944.854381;/sys/fs/cgroup/apps/app4;0;0;0
1744724944.854381;/sys/fs/cgroup/cache/cache1;0;0;0
1744724944.854381;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;6997710;756068352;35762176
1744724944.854381;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;7047161;695758848;311296
1744724944.854381;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;6730118;695611392;212992
1744724944.854381;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;7107954;696365056;212992
1744724945.851882;#SYSTEM;11959390367;3049443328;352071680
1744724945.851882;/sys/fs/cgroup/apps/app1;0;0;0
1744724945.851882;/sys/fs/cgroup/apps/app2;0;0;4096
1744724945.851882;/sys/fs/cgroup/apps/app3;0;0;0
1744724945.851882;/sys/fs/cgroup/apps/app4;0;0;0
1744724945.851882;/sys/fs/cgroup/cache/cache1;0;0;0
1744724945.851882;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;8562393;756068352;35762176
1744724945.851882;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;8344564;695758848;311296
1744724945.851882;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;7843667;695611392;212992
1744724945.851882;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;7878615;696365056;212992
1744724946.854223;#SYSTEM;12005359556;3048292352;352292864
1744724946.854223;/sys/fs/cgroup/apps/app1;0;0;0
1744724946.854223;/sys/fs/cgroup/apps/app2;0;0;4096
1744724946.854223;/sys/fs/cgroup/apps/app3;0;0;0
1744724946.854223;/sys/fs/cgroup/apps/app4;0;0;0
1744724946.854223;/sys/fs/cgroup/cache/cache1;0;0;0
1744724946.854223;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;7857154;756068352;35762176
