TIMESTAMP;CGROUP;LLC_MISSES;PERF_COUNT_SW_CPU_CLOCK;MEMORY_ANON;MEMORY_FILE
1695019938.992901;#SYSTEM;26876;33917618;906764288;29917872128
1695019938.992901;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;57344
1695019938.992901;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695019938.992901;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;57344
1695019938.992901;/sys/fs/cgroup/system.slice/docker-61b09e7f029ca294cc606b3cfc57df4c1b25d519ef0000ca05e17f09e91c2ec0.scope;60;9124;524804096;474198016
1695019938.992901;/sys/fs/cgroup/system.slice/docker-cfd3e6e51a36f5fb1c65502b580ba1da879a71847abd12de7392816538384253.scope;0;0;1884160;2088960
1695019938.992901;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;10106;677937;1740800;20480
1695019939.888903;#SYSTEM;4269358;11972161574;943235072;29949296640
1695019939.888903;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;57344
1695019939.888903;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695019939.888903;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;57344
1695019939.888903;/sys/fs/cgroup/system.slice/docker-61b09e7f029ca294cc606b3cfc57df4c1b25d519ef0000ca05e17f09e91c2ec0.scope;77244;8606175;523640832;474189824
1695019939.888903;/sys/fs/cgroup/system.slice/docker-cfd3e6e51a36f5fb1c65502b580ba1da879a71847abd12de7392816538384253.scope;35811;1072170;1884160;2088960
1695019939.888903;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;55859;1827116;1765376;20480
1695019940.888474;#SYSTEM;2219322;11954661933;608681984;29936541696
1695019940.888474;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;57344
1695019940.888474;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695019940.888474;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;57344
1695019940.888474;/sys/fs/cgroup/system.slice/docker-61b09e7f029ca294cc606b3cfc57df4c1b25d519ef0000ca05e17f09e91c2ec0.scope;1766666;144978622;199102464;461438976
1695019940.888474;/sys/fs/cgroup/system.slice/docker-cfd3e6e51a36f5fb1c65502b580ba1da879a71847abd12de7392816538384253.scope;8152;1140616;1884160;2088960
1695019940.888474;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;14036;1606297;1765376;20480
1695019942.160940;#SYSTEM;6645164;12153285206;405204992;29936369664
1695019942.160940;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;57344
1695019942.160940;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695019942.160940;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;57344
1695019942.160940;/sys/fs/cgroup/system.slice/docker-cfd3e6e51a36f5fb1c65502b580ba1da879a71847abd12de7392816538384253.scope;38134;1179974;199102464;461438976
1695019942.160940;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;51070;2928964;1884160;2088960
1695019942.902721;#SYSTEM;13372233;11968127946;385593344;29911015424
1695019942.902721;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;57344
1695019942.902721;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695019942.902721;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;57344
1695019942.902721;/sys/fs/cgroup/system.slice/docker-cfd3e6e51a36f5fb1c65502b580ba1da879a71847abd12de7392816538384253.scope;31946;1070402;199102464;461438976
1695019942.902721;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;57084;2756148;1884160;2088960
1695019942.902721;/sys/fs/cgroup/system.slice/docker-e8a5209529aa31baf07076cffcc2a313c6df918258c17027347341cb557c3b80.scope;152451;15418737;1826816;20480
1695019943.885256;#SYSTEM;9704564;11769042585;460091392;29978968064
1695019943.885256;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;57344
1695019943.885256;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695019943.885256;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;57344
1695019943.885256;/sys/fs/cgroup/system.slice/docker-cfd3e6e51a36f5fb1c65502b580ba1da879a71847abd12de7392816538384253.scope;37130;1168702;199102464;461438976
1695019943.885256;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;62990;1605063;1884160;2088960
1695019943.885256;/sys/fs/cgroup/system.slice/docker-e8a5209529aa31baf07076cffcc2a313c6df918258c17027347341cb557c3b80.scope;1261991;147503989;1826816;20480
1695019944.883912;#SYSTEM;17255570;11953626151;459534336;29983195136
1695019944.883912;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;57344
1695019944.883912;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1695019944.883912;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;57344
1695019944.883912;/sys/fs/cgroup/system.slice/docker-cfd3e6e51a36f5fb1c65502b580ba1da879a71847abd12de7392816538384253.scope;53182;1534506;199102464;461438976
1695019944.883912;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;47639;1166914;1892352;2088960
