HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;30;1.3
19;38;1.35
19;38;1.52
24;48;1.68
22;44;1.78
27;54;1.95
25;50;2.04
26;52;2.09
25;50;2.26
23;51;2.46
32;89;2.5
36;72;2.63
36;72;2.9
34;68;3.09
40;80;3.4
35;70;3.37
37;74;3.55
30;61;3.73
38;75;3.9
25;54;4.19
26;76;4.28
38;78;4.46
36;72;4.67
32;64;4.74
34;68;4.87
42;84;5.07
35;70;5.19
36;73;5.41
45;89;5.78
30;60;5.92
39;105;5.95
39;81;6.22
34;68;6.3
41;83;6.63
45;89;6.76
43;86;7.0
39;78;7.22
41;82;7.46
40;82;7.64
42;82;7.83
40;80;8.02
46;92;8.27
36;72;8.4
39;79;8.79
39;77;8.77
35;74;9.04
46;89;9.17
37;73;9.37
40;80;9.57
37;74;9.63
40;80;9.98
44;88;10.15
41;83;10.31
35;70;10.68
40;80;10.71
38;75;10.97
43;86;11.17
43;88;11.38
39;76;11.56
38;79;11.91
38;86;11.83
35;87;12.05
37;74;12.29
32;64;12.32
44;88;12.68
41;83;12.72
39;79;12.96
45;90;13.18
49;96;13.28
39;87;13.36
37;95;13.6
41;82;13.71
40;80;13.72
38;78;13.82
44;86;13.83
44;88;13.81
41;82;13.84
43;86;13.93
32;64;13.59
41;92;13.58
32;84;13.48
39;78;13.79
43;86;13.89
42;84;13.93
52;103;14.17
39;79;13.96
39;78;13.86
42;84;14.08
45;91;14.08
41;87;14.18
38;94;14.11
