TIMESTAMP;CGROUP;PERF_COUNT_SW_CPU_CLOCK;MEMORY_ANON;MEMORY_FILE
1745306938.900418;#SYSTEM;720693167;3034537984;273784832
1745306938.900418;/sys/fs/cgroup/apps/app1;0;0;0
1745306938.900418;/sys/fs/cgroup/apps/app2;0;0;0
1745306938.900418;/sys/fs/cgroup/apps/app3;0;0;20480
1745306938.900418;/sys/fs/cgroup/apps/app4;0;0;0
1745306938.900418;/sys/fs/cgroup/cache/cache1;0;0;0
1745306938.900418;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;702825;756195328;35614720
1745306938.900418;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;731681;695771136;311296
1745306938.900418;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;692758;695685120;212992
1745306938.900418;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;672168;696434688;212992
1745306939.898896;#SYSTEM;11964369193;3038777344;276307968
1745306939.898896;/sys/fs/cgroup/apps/app1;0;0;0
1745306939.898896;/sys/fs/cgroup/apps/app2;0;0;0
1745306939.898896;/sys/fs/cgroup/apps/app3;0;0;20480
1745306939.898896;/sys/fs/cgroup/apps/app4;0;0;0
1745306939.898896;/sys/fs/cgroup/cache/cache1;0;0;0
1745306939.898896;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;7345169;756195328;35614720
1745306939.898896;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;6638841;695771136;311296
1745306939.898896;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;7152128;695685120;212992
1745306939.898896;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;6682311;696434688;212992
1745306940.899924;#SYSTEM;11998590403;3076718592;294240256
1745306940.899924;/sys/fs/cgroup/apps/app1;0;0;0
1745306940.899924;/sys/fs/cgroup/apps/app2;0;0;0
1745306940.899924;/sys/fs/cgroup/apps/app3;0;0;20480
1745306940.899924;/sys/fs/cgroup/apps/app4;0;0;0
1745306940.899924;/sys/fs/cgroup/cache/cache1;0;0;0
1745306940.899924;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;7310658;756195328;35614720
1745306940.899924;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;6622575;695771136;311296
1745306940.899924;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;6752091;695685120;212992
1745306940.899924;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;6607582;696434688;212992
1745306941.898148;#SYSTEM;11954047893;3078627328;297476096
1745306941.898148;/sys/fs/cgroup/apps/app1;0;0;0
1745306941.898148;/sys/fs/cgroup/apps/app2;0;0;0
1745306941.898148;/sys/fs/cgroup/apps/app3;0;0;20480
1745306941.898148;/sys/fs/cgroup/apps/app4;0;0;0
1745306941.898148;/sys/fs/cgroup/cache/cache1;0;0;0
