TIMESTAMP;PDU;CPU;RAM;GPU
1745822572.611812;3.6;2.00021;0;0
1745822573.611972;21.6;4.98593;0;0
1745822574.608015;46.8;9.26219;0;0
1745822575.609047;64.8;11.9128;0;0
1745822576.608647;86.4;14.9156;0;0
1745822577.605961;104.4;18.5367;0;0
1745822578.604765;126;21.1014;0;0
1745822579.603201;144;24.2234;0;0
1745822580.603481;165.6;27.9014;0;0
1745822581.601391;183.6;30.2758;0;0
1745822582.599828;205.2;33.3553;0;0
1745822583.600476;226.8;37.1526;0;0
1745822584.599130;244.8;39.3298;0;0
1745822585.597483;262.8;42.5026;0;0
1745822586.596810;284.4;46.1261;0;0
1745822587.611687;306;49.1933;0;0
1745822588.595848;327.6;52.1886;0;0
1745822589.612561;345.6;55.2863;0;0
1745822590.594118;367.2;58.1851;0;0
1745822591.594098;388.8;61.7841;0;0
1745822592.591508;406.8;64.7724;0;0
1745822593.591131;428.4;67.8105;0;0
1745822594.589012;450;71.0922;0;0
1745822595.589559;471.6;74.5488;0;0
1745822596.602452;489.6;77.6435;0;0
1745822597.589063;511.2;80.5786;0;0
1745822598.586964;532.8;83.6084;0;0
1745822599.584174;550.8;87.1012;0;0
1745822600.585210;572.4;90.6684;0;0
1745822601.582326;594;93.9179;0;0
1745822602.582700;615.6;97.406;0;0
1745822603.582684;637.2;100.736;0;0
1745822604.598108;658.8;103.832;0;0
1745822605.579586;676.8;106.828;0;0
1745822606.580498;698.4;109.929;0;0
1745822607.578679;720;113.568;0;0
1745822608.578875;741.6;116.684;0;0
1745822609.577716;763.2;119.674;0;0
1745822610.576857;784.8;122.922;0;0
1745822611.576311;802.8;126.283;0;0
1745822612.583302;824.4;129.45;0;0
1745822613.574143;846;132.532;0;0
1745822614.573644;867.6;135.625;0;0
1745822615.572494;885.6;138.663;0;0
1745822616.571262;907.2;142.221;0;0
1745822617.571374;928.8;145.143;0;0
1745822618.570589;946.8;148.218;0;0
1745822619.569860;964.8;150.292;0;0
1745822620.568785;982.8;152.33;0;0
1745822621.568663;1000.8;154.369;0;0
1745822622.568115;1018.8;156.427;0;0
1745822623.568248;1036.8;158.508;0;0
1745822624.565946;1054.8;160.603;0;0
1745822625.566323;1072.8;162.678;0;0
1745822626.565261;1090.8;164.797;0;0
1745822627.564435;1108.8;166.858;0;0
1745822628.563549;1126.8;168.92;0;0
1745822629.564526;1144.8;170.947;0;0
1745822630.562636;1162.8;172.96;0;0
1745822631.561456;1180.8;174.996;0;0
1745822632.563453;1198.8;177.021;0;0
1745822633.559562;1216.8;179.033;0;0
1745822634.560019;1234.8;181.084;0;0
1745822635.558983;1252.8;183.14;0;0
1745822636.558198;1267.2;185.188;0;0
1745822637.557146;1285.2;187.251;0;0
1745822638.556286;1303.2;189.313;0;0
1745822639.557279;1321.2;191.375;0;0
1745822640.555256;1339.2;193.388;0;0
1745822641.555466;1357.2;195.429;0;0
1745822642.553550;1375.2;197.479;0;0
1745822643.553688;1393.2;199.529;0;0
1745822644.552484;1411.2;201.595;0;0
1745822645.551678;1429.2;203.655;0;0
1745822646.552477;1447.2;205.703;0;0
1745822647.550857;1465.2;207.751;0;0
1745822648.551085;1483.2;209.834;0;0
1745822649.548972;1501.2;211.9;0;0
1745822650.550158;1519.2;213.981;0;0
1745822651.548295;1537.2;216.02;0;0
1745822652.547313;1555.2;218.073;0;0
1745822653.546412;1573.2;220.137;0;0
