TIMESTAMP;CGROUP;PERF_COUNT_SW_CPU_CLOCK;MEMORY_ANON;MEMORY_FILE
1745822572.611812;#SYSTEM;763184011;3030745088;270336000
1745822572.611812;/sys/fs/cgroup/apps/app1;0;0;0
1745822572.611812;/sys/fs/cgroup/apps/app2;0;0;0
1745822572.611812;/sys/fs/cgroup/apps/app3;0;0;0
1745822572.611812;/sys/fs/cgroup/apps/app4;0;0;77824
1745822572.611812;/sys/fs/cgroup/cache/cache1;0;0;0
1745822572.611812;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;350756;756170752;35614720
1745822572.611812;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;331742;695791616;311296
1745822572.611812;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;434493;695754752;212992
1745822572.611812;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;364004;696451072;212992
1745822573.611972;#SYSTEM;11980414602;3030511616;271478784
1745822573.611972;/sys/fs/cgroup/apps/app1;0;0;0
1745822573.611972;/sys/fs/cgroup/apps/app2;0;0;0
1745822573.611972;/sys/fs/cgroup/apps/app3;0;0;0
1745822573.611972;/sys/fs/cgroup/apps/app4;0;0;77824
1745822573.611972;/sys/fs/cgroup/cache/cache1;0;0;0
1745822573.611972;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;6490133;756170752;35614720
1745822573.611972;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;6567083;695791616;311296
