TIMESTAMP;CGROUP;LLC_MISSES;PERF_COUNT_SW_CPU_CLOCK;MEMORY_ANON;MEMORY_FILE
1694595637.744952;#SYSTEM;21938;28494542;429228032;27743551488
1694595637.744952;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694595637.744952;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694595637.744952;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694595637.744952;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;9970;617091;1740800;16384
1694595638.599675;#SYSTEM;6367585;11969998436;430206976;27743576064
1694595638.599675;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694595638.599675;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694595638.599675;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694595638.599675;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;75852;1921125;1761280;16384
1694595639.848922;#SYSTEM;6639640;12243348450;486936576;27770245120
1694595639.848922;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694595639.848922;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694595639.848922;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694595639.848922;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;58789;2119491;1798144;16384
1694595639.848922;/sys/fs/cgroup/system.slice/docker-db9aa6a0846f02bcb20aac7e65d80b21333343f3e4a6beb22f75e5b7b842bc79.scope;59364;6215295;1667072;0
1694595640.606384;#SYSTEM;13419459;11776094420;522137600;27825594368
1694595640.606384;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694595640.606384;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694595640.606384;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694595640.606384;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;54928;1756494;1822720;16384
1694595640.606384;/sys/fs/cgroup/system.slice/docker-db9aa6a0846f02bcb20aac7e65d80b21333343f3e4a6beb22f75e5b7b842bc79.scope;5138920;493610103;78086144;55250944
1694595641.820929;#SYSTEM;9814388;12110998007;520462336;27814449152
1694595641.820929;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694595641.820929;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694595641.820929;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694595641.820929;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;76300;3368203;1847296;16384
1694595641.820929;/sys/fs/cgroup/system.slice/docker-db9aa6a0846f02bcb20aac7e65d80b21333343f3e4a6beb22f75e5b7b842bc79.scope;775948;59262508;81829888;70328320
1694595641.820929;/sys/fs/cgroup/system.slice/docker-d72d9f9ea48d8388741b0d22c2989b84e93962decc650eb1aadf7c215300ca72.scope;3416;61827;1806336;0
1694595642.596366;#SYSTEM;17980141;11715676696;524288000;27815071744
1694595642.596366;/sys/fs/cgroup/SocialNetworkAKKA/all-in-one;0;0;0;0
1694595642.596366;/sys/fs/cgroup/SocialNetworkAKKA/front;0;0;0;0
1694595642.596366;/sys/fs/cgroup/SocialNetworkAKKA/registry;0;0;0;0
1694595642.596366;/sys/fs/cgroup/vjoule.slice/vjoule_service.service;68350;1692321;1847296;16384
1694595642.596366;/sys/fs/cgroup/system.slice/docker-db9aa6a0846f02bcb20aac7e65d80b21333343f3e4a6beb22f75e5b7b842bc79.scope;718669;52526440;84303872;70942720
1694595642.596366;/sys/fs/cgroup/system.slice/docker-d72d9f9ea48d8388741b0d22c2989b84e93962decc650eb1aadf7c215300ca72.scope;35863;1130736;1806336;0
1694595643.595453;#SYSTEM;8338637;11928761926;543498240;27830964224
