TIMESTAMP;CPU;RAM;GPU;FREQ0;FREQ1;FREQ2;FREQ3;FREQ4;FREQ5;FREQ6;FREQ7;FREQ8;FREQ9;FREQ10;FREQ11
1694595637.744952;2.04028;0.202179;0;3689831;2959465;3540976;1689124;1200510;1200152;3719998;1349258;1200280;3750661;3787662;1200093
1694595638.599675;36.655;5.02238;0;2655636;3005427;3493311;2399180;3036274;2380405;2950739;3745132;3192188;2488387;3135283;3372642
1694595639.848922;74.2207;10.0492;0;3645521;3799995;3800030;2904172;1246947;1200724;1200042;1200010;3275574;1712813;3133598;2696489
1694595640.606384;113.203;14.9467;0;3208251;3440856;3491859;3147534;3259808;3415801;2838774;3476400;3071055;3147664;3492220;3513354
1694595641.820929;148.809;19.7809;0;3800008;3794251;3166590;3704409;3518310;1335771;2892924;3799980;3800072;3800010;3308233;1810864
1694595642.596366;184.493;24.7243;0;2806123;2768532;3067068;3802463;2524284;2842817;2708643;2604504;2269466;2937967;3264806;2652699
1694595643.595453;228.216;29.8669;0;3180873;3413817;3433326;3404294;3252308;3360290;3290323;3263749;3444734;3276717;3570798;3356463
1694595644.594796;256.059;34.5921;0;1727735;1594910;1434179;1844699;1631532;1317830;1512921;1694938;2425350;1865693;1550795;1333358
1694595645.593662;280.95;39.1764;0;1620129;1442689;1548328;1456332;1409105;1233234;1562715;1733299;1883211;1550061;1646990;1406672
1694595646.592949;305.962;44.0125;0;1616688;1637317;1597273;1352279;1591058;1503492;1345041;2545456;1240921;1570939;2070927;1300157
1694595647.592252;340.628;49.1803;0;2196039;1676192;1270919;2212000;3506694;2766505;1933323;2083590;1350324;1407744;2014984;1475246
1694595648.591048;365.865;53.7737;0;2490447;1705511;2430986;2734797;1813580;2724141;1660261;1615005;1396753;1690391;2184230;2026421
1694595649.792836;408.707;58.9142;0;3710452;3800007;3800001;3800006;3800068;3787815;3798706;2909486;3800016;3618474;3746955;3800485
1694595650.602339;468.176;64.4308;0;3673031;3699523;3782762;3715312;3618996;3764624;3727599;3584426;3760706;3769412;3719398;3767315
1694595651.587966;520.858;69.8674;0;3525400;3724551;3278208;3743018;3635233;3776100;3376803;3744068;3230992;3785678;3331167;3615442
1694595652.588203;547.968;74.2955;0;2903705;3141624;1840397;3733462;3775875;3226776;3175277;2887909;1448714;1930657;1716134;2095163
1694595653.586850;565.761;78.3515;0;1264113;1470168;1244140;1430385;2209178;1327825;1308491;1368300;1262298;1309880;1280675;1316233
1694595654.585939;583.641;82.4498;0;1323827;1304231;1292795;1232029;1784836;1367294;1222197;1288993;1327254;1228421;1308714;1352464
1694595655.585259;601.329;86.5291;0;1273465;1262513;1256048;1283569;1230198;1437754;1446223;1262037;1282875;1277357;1254688;1304899
1694595656.583997;625.821;91.0377;0;1521154;2620063;2465124;3356296;1413134;1639093;1267839;1484675;1209399;1655991;3742473;1282059
1694595657.582891;651.383;95.5698;0;2896112;1273935;2754744;1461420;2149589;2030720;2304943;1365281;3587578;1342906;2731557;1926111
1694595658.581472;692.619;100.827;0;1766757;2176549;2698588;3118016;2924831;3153767;1674449;2076490;3663279;3705089;3544578;3500835
1694595659.581830;711.321;104.37;0;1406794;1321656;1770123;1394731;1275194;1319435;1496771;1529175;1817113;3335267;1255946;2204086
1694595660.581029;729.045;108.327;0;1249316;1257160;1329954;1865435;1238684;1292765;1296311;1378688;1323416;1291290;1374704;1298829
1694595661.579971;746.737;112.369;0;1200181;1353290;1281345;1466440;1266847;1313334;1200267;1643189;1659330;1279284;1408814;1357130
1694595662.579343;764.432;116.526;0;1353673;1254195;1208302;1374136;1289598;1281869;1356553;1224154;1200868;1308400;1318037;1311165
1694595663.578047;789.593;121.003;0;3514604;1438285;1202879;1403258;1486206;2993826;3191199;1769920;1286598;2757961;2143446;1322285
1694595664.577159;817.994;126.27;0;2586293;1280295;1263576;1483277;1491792;1206308;1393039;1261943;1461703;1516927;1342961;1248590
1694595665.575733;836.806;129.832;0;2422612;1899138;2294562;3174544;3299018;2607041;2465796;3322764;2066267;2525261;2535063;2477607
1694595666.800915;880.141;134.899;0;1200059;3432742;3629602;2958701;3798711;1200709;3648135;3588529;2907348;2910780;3800003;3748326
1694595667.573855;934.364;140.413;0;3439493;3653050;3546747;3696674;3650274;3800958;3684873;3735733;3699147;3694245;3618710;3806544
1694595668.574163;979.569;145.553;0;3447829;3371678;3666796;3507409;3683135;3451234;3523735;3438876;3518683;3326758;3669348;3417951
1694595669.572834;999.136;149.256;0;2556834;3033425;2904203;2666669;2781299;2851043;2837318;3421605;2515098;3034859;2951282;2703857
