HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
10;30;3.33
47;1;3.45
58;0;3.6
62;0;3.64
64;0;3.71
76;0;3.87
74;0;4.02
64;0;3.69
76;0;4.0
73;4;3.79
82;10;3.94
111;0;4.2
80;0;4.18
90;0;4.16
87;0;4.03
87;0;4.24
95;0;4.26
98;0;4.32
97;0;4.37
88;0;4.18
92;8;4.36
80;1;4.38
77;0;4.39
86;1;4.39
90;0;4.44
102;0;4.45
97;0;4.45
114;0;4.5
85;0;4.51
82;2;4.28
91;6;4.56
119;2;4.57
93;1;4.58
103;0;4.62
96;0;4.63
140;0;4.67
95;0;4.59
99;0;4.64
90;0;4.56
104;0;4.6
98;0;4.64
103;0;4.6
114;0;4.61
105;0;4.68
100;0;4.65
129;0;4.65
97;0;4.65
91;0;4.69
96;0;4.69
95;0;4.65
101;0;4.65
122;0;4.49
123;0;4.5
103;0;4.5
94;0;4.42
79;0;4.46
119;0;4.54
98;0;4.5
108;0;4.5
115;0;4.54
116;5;4.54
98;5;4.54
84;1;4.54
103;0;4.5
124;0;4.58
114;0;4.5
98;0;4.5
120;0;4.5
116;0;4.5
116;2;4.54
122;5;4.5
106;1;4.5
84;1;4.58
