TIMESTAMP;PDU;CPU;RAM;GPU
1745821536.679086;3.6;2.09814;0;0
1745821537.675480;21.6;5.30606;0;0
1745821538.675106;46.8;9.63054;0;0
1745821539.672988;64.8;12.4082;0;0
1745821540.674277;82.8;15.5193;0;0
1745821541.673481;104.4;19.2434;0;0
1745821542.672103;122.4;21.898;0;0
1745821543.671370;144;25.0617;0;0
1745821544.670584;162;28.9874;0;0
1745821545.669143;180;31.2137;0;0
1745821546.668342;201.6;34.4219;0;0
1745821547.666971;223.2;38.5708;0;0
1745821548.667809;241.2;40.7397;0;0
1745821549.666647;259.2;43.9738;0;0
1745821550.665158;280.8;47.7866;0;0
1745821551.674980;302.4;51.0859;0;0
1745821552.664380;320.4;54.2179;0;0
1745821553.683014;342;57.4322;0;0
1745821554.663551;360;60.4109;0;0
1745821555.662013;381.6;64.1528;0;0
1745821556.661404;403.2;67.2172;0;0
1745821557.661279;421.2;70.4394;0;0
1745821558.660019;442.8;73.7899;0;0
1745821559.660360;464.4;77.4766;0;0
1745821560.675582;486;80.5761;0;0
1745821561.658589;504;83.68;0;0
1745821562.656937;525.6;86.7759;0;0
1745821563.655474;543.6;90.158;0;0
1745821564.655291;565.2;93.5875;0;0
1745821565.653445;586.8;96.8172;0;0
1745821566.653417;604.8;100.036;0;0
1745821567.652149;626.4;103.48;0;0
1745821568.659437;648;106.808;0;0
1745821569.650464;666;109.862;0;0
1745821570.649506;687.6;112.98;0;0
1745821571.648056;705.6;116.114;0;0
1745821572.648443;727.2;119.806;0;0
1745821573.647565;748.8;123.083;0;0
1745821574.646529;766.8;126.278;0;0
1745821575.645564;788.4;129.666;0;0
1745821576.645639;810;133.168;0;0
1745821577.658942;828;136.349;0;0
1745821578.643536;849.6;139.405;0;0
1745821579.642046;867.6;142.616;0;0
1745821580.641898;889.2;145.898;0;0
1745821581.641273;910.8;149.643;0;0
1745821582.640774;932.4;152.996;0;0
1745821583.639572;950.4;155.379;0;0
1745821584.638548;964.8;157.461;0;0
1745821585.639635;982.8;159.55;0;0
1745821586.637563;1000.8;161.631;0;0
1745821587.637735;1018.8;163.705;0;0
1745821588.636829;1036.8;165.806;0;0
1745821589.636834;1054.8;167.902;0;0
1745821590.635199;1069.2;169.997;0;0
1745821591.634345;1087.2;172.078;0;0
1745821592.634109;1105.2;174.152;0;0
1745821593.633324;1123.2;176.21;0;0
1745821594.633270;1141.2;178.307;0;0
1745821595.631457;1159.2;180.389;0;0
1745821596.634052;1177.2;182.494;0;0
1745821597.630603;1191.6;184.556;0;0
1745821598.630650;1209.6;186.669;0;0
1745821599.628642;1227.6;188.759;0;0
1745821600.628851;1245.6;190.882;0;0
1745821601.631209;1263.6;192.968;0;0
1745821602.629923;1278;195.055;0;0
1745821603.630136;1296;197.131;0;0
1745821604.628938;1314;199.195;0;0
1745821605.626239;1332;201.278;0;0
1745821606.627285;1346.4;203.367;0;0
1745821607.624403;1364.4;205.422;0;0
1745821608.626471;1382.4;207.505;0;0
1745821609.622542;1400.4;209.573;0;0
1745821610.622411;1418.4;211.649;0;0
1745821611.624710;1432.8;213.738;0;0
1745821612.622662;1461.6;215.833;0;0
1745821613.623078;1497.6;217.921;0;0
1745821614.621006;1519.2;220.008;0;0
1745821615.621805;1537.2;222.093;0;0
1745821616.620172;1555.2;224.167;0;0
1745821617.617949;1569.6;226.243;0;0
1745821618.618324;1587.6;228.307;0;0
1745821619.616282;1605.6;230.416;0;0
1745821620.618389;1623.6;232.516;0;0
1745821621.614392;1641.6;234.581;0;0
1745821622.616616;1659.6;236.68;0;0
1745821623.613643;1674;238.775;0;0
1745821624.615992;1692;240.922;0;0
1745821625.611716;1710;243.012;0;0
1745821626.612950;1746;260.04;0;0
1745821627.610870;1796.4;284.931;0;0
1745821628.610937;1846.8;309.875;0;0
1745821629.608094;1897.2;334.743;0;0
1745821630.609202;1951.2;359.708;0;0
1745821631.608325;2001.6;384.629;0;0
1745821632.604856;2052;409.497;0;0
1745821633.607220;2102.4;434.489;0;0
1745821634.605113;2152.8;459.382;0;0
1745821635.605191;2203.2;484.349;0;0
1745821636.603314;2257.2;509.243;0;0
1745821637.603710;2307.6;534.185;0;0
1745821638.601766;2358;559.076;0;0
1745821639.600407;2408.4;583.995;0;0
1745821640.600848;2458.8;608.937;0;0
1745821641.600042;2509.2;633.854;0;0
1745821642.598701;2563.2;658.774;0;0
1745821643.596152;2613.6;683.639;0;0
1745821644.597959;2664;708.634;0;0
1745821645.603403;2714.4;733.699;0;0
1745821646.597228;2764.8;758.492;0;0
1745821647.596065;2815.2;783.411;0;0
1745821648.594592;2865.6;808.329;0;0
1745821649.593635;2919.6;833.248;0;0
1745821650.592066;2970;858.164;0;0
1745821651.590627;3020.4;883.057;0;0
1745821652.589952;3070.8;907.972;0;0
1745821653.593845;3121.2;933.018;0;0
1745821654.591056;3171.6;957.884;0;0
1745821655.590543;3222;982.828;0;0
1745821656.590257;3272.4;1007.75;0;0
1745821657.587618;3322.8;1032.61;0;0
1745821658.587919;3376.8;1057.58;0;0
1745821659.587461;3427.2;1082.5;0;0
1745821660.585295;3477.6;1107.39;0;0
1745821661.583893;3528;1132.3;0;0
1745821662.583746;3578.4;1157.22;0;0
1745821663.584472;3628.8;1182.19;0;0
1745821664.582795;3679.2;1207.08;0;0
1745821665.583032;3729.6;1232.02;0;0
1745821666.579415;3780;1256.89;0;0
1745821667.579000;3830.4;1281.81;0;0
1745821668.577174;3880.8;1306.7;0;0
1745821669.577142;3931.2;1331.67;0;0
1745821670.576103;3981.6;1356.59;0;0
1745821671.574514;4032;1381.48;0;0
1745821672.574272;4082.4;1406.42;0;0
1745821673.572718;4132.8;1431.34;0;0
1745821674.571513;4183.2;1456.25;0;0
1745821675.571427;4233.6;1481.17;0;0
1745821676.570990;4284;1506.12;0;0
1745821677.569301;4334.4;1531.01;0;0
1745821678.569986;4384.8;1555.95;0;0
1745821679.568202;4435.2;1580.87;0;0
1745821680.566914;4485.6;1605.76;0;0
1745821681.567117;4536;1630.73;0;0
1745821682.565140;4586.4;1655.62;0;0
1745821683.566566;4636.8;1680.59;0;0
1745821684.563254;4687.2;1705.46;0;0
1745821685.563467;4737.6;1730.4;0;0
1745821686.562370;4788;1755.32;0;0
1745821687.561534;4838.4;1780.23;0;0
1745821688.560302;4888.8;1805.15;0;0
1745821689.558389;4939.2;1830.05;0;0
1745821690.558240;4989.6;1854.99;0;0
1745821691.556914;5040;1879.88;0;0
1745821692.557168;5090.4;1904.85;0;0
1745821693.556210;5140.8;1929.76;0;0
1745821694.554080;5191.2;1954.66;0;0
