HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
2;35;1.36
23;45;1.46
19;39;1.55
22;43;1.5
29;58;1.84
25;50;1.85
27;54;2.02
26;52;2.22
23;46;2.1
25;62;2.43
30;78;2.65
33;67;2.7
38;76;3.07
32;63;3.07
34;68;3.23
31;62;3.46
36;72;3.51
38;76;3.88
37;74;3.97
25;62;4.15
38;94;4.44
34;68;4.61
33;67;4.68
42;83;4.92
32;65;4.89
44;87;5.2
30;60;5.19
36;72;5.49
38;76;5.67
32;79;5.85
33;75;6.06
35;76;6.11
43;88;6.41
32;62;6.51
45;90;6.77
45;90;7.06
38;76;7.13
45;90;7.46
35;72;7.64
44;86;8.0
36;73;8.06
37;73;8.19
38;76;8.3
45;90;8.55
44;88;8.87
46;92;9.06
33;67;9.18
41;81;9.3
36;72;9.4
40;80;9.67
37;74;9.8
38;76;10.02
45;90;10.24
47;94;10.5
39;78;10.61
35;70;10.87
41;82;11.02
44;88;11.29
41;82;11.37
45;92;11.86
27;73;11.89
38;85;12.14
35;71;12.25
37;76;12.55
49;95;12.66
36;72;12.74
35;70;12.9
43;86;13.14
42;84;13.25
34;86;13.44
41;91;13.63
44;91;13.7
42;84;13.91
46;95;14.02
40;77;13.87
49;98;13.56
40;80;13.47
38;77;13.74
37;73;13.61
35;89;13.74
34;79;13.7
38;76;13.77
41;82;13.91
50;100;13.87
48;96;13.98
46;92;13.99
38;76;13.97
41;82;13.99
40;80;14.07
38;94;14.21
38;79;14.19
36;81;14.15
49;99;14.21
43;85;14.24
35;70;14.13
39;78;13.98
42;84;14.14
52;104;14.16
