HITS;MISSES;MEMORY
86;61;14.1
84;62;14.16
85;56;14.37
70;46;14.26
68;48;14.18
91;60;14.31
69;47;14.1
97;63;14.38
84;58;14.31
92;60;14.41
108;70;14.37
81;54;14.38
68;47;14.18
100;69;14.41
118;79;14.62
73;46;14.12
78;53;13.99
93;62;13.9
76;51;14.1
122;81;14.14
93;62;14.11
65;42;14.18
68;46;14.02
84;58;14.06
91;56;14.29
78;56;14.08
95;61;14.22
81;55;14.22
82;54;13.91
97;69;14.22
81;58;13.87
87;60;14.34
88;59;14.16
60;38;13.82
77;54;13.66
98;66;14.21
92;58;13.79
108;74;13.48
71;48;13.94
70;47;13.99
80;55;13.94
71;52;13.98
67;44;13.5
104;70;13.97
97;64;13.92
57;36;13.75
58;40;13.45
74;48;13.55
58;38;13.62
63;43;13.61
69;51;13.62
40;26;13.31
38;24;13.05
19;12;12.55
3;2;11.79
6;4;11.7
3;2;11.5
6;4;11.55
3;2;11.27
3;2;11.04
6;4;10.97
3;2;10.73
3;2;10.38
0;0;10.24
0;0;10.15
0;0;9.98
0;0;9.82
0;0;9.71
0;0;9.62
0;0;9.47
0;0;9.25
0;0;9.07
0;0;8.91
0;0;8.84
0;0;8.58
0;0;8.36
0;0;8.22
0;0;8.08
0;0;7.9
0;0;7.77
0;0;7.63
0;0;7.41
0;0;7.27
0;0;7.14
0;0;7.01
0;0;6.81
0;0;6.6
0;0;6.53
0;0;6.35
0;0;6.12
0;0;6.02
0;0;5.81
0;0;5.66
0;0;5.39
0;0;5.28
0;0;5.12
0;0;4.91
0;0;4.66
0;0;4.53
0;0;4.44
0;0;4.29
0;0;4.05
0;0;3.89
0;0;3.63
0;0;3.5
0;0;3.38
0;0;3.23
0;0;2.99
0;0;2.81
0;0;2.61
0;0;2.53
0;0;2.43
0;0;2.38
0;0;2.35
0;0;2.34
0;0;2.33
0;0;2.32
0;0;2.31
0;0;2.3
0;0;2.29
0;0;2.28
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
14;46;3.54
48;44;4.35
58;40;4.48
70;46;4.56
