HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.42
19;31;3.46
66;0;3.54
69;0;3.5
59;0;3.81
69;0;3.89
71;0;3.88
71;0;3.88
67;0;4.03
72;0;3.89
83;10;4.24
82;6;4.15
97;0;4.11
94;0;4.09
80;0;3.98
88;0;4.08
90;0;4.13
100;0;4.07
98;0;4.09
90;0;4.14
76;4;4.23
109;8;4.22
79;1;4.23
101;0;4.35
84;0;4.13
107;0;4.33
103;0;4.07
119;0;4.35
114;0;4.51
105;0;4.4
96;7;4.45
120;4;4.19
110;0;4.35
101;0;4.12
115;1;4.4
132;0;4.28
124;0;4.36
121;0;4.21
94;0;4.25
110;0;4.33
101;0;4.21
105;0;4.49
97;0;4.37
128;0;4.37
92;0;4.37
126;0;4.38
88;0;4.14
117;0;4.26
123;0;4.3
116;0;4.18
96;0;4.26
93;0;4.18
103;0;4.34
102;0;4.3
113;0;4.3
104;0;4.3
114;0;4.58
107;0;4.23
96;0;4.23
99;0;4.15
103;0;4.34
106;10;4.42
94;2;4.31
129;0;4.66
94;0;4.27
118;0;4.54
121;0;4.5
108;0;4.42
97;0;4.15
99;0;4.31
119;6;4.42
95;4;4.31
114;0;4.34
112;0;4.42
112;0;4.31
112;0;4.38
109;0;4.35
88;0;4.34
142;0;4.62
98;0;4.31
112;2;4.5
98;2;4.42
91;5;4.62
114;1;4.54
114;0;4.31
103;0;4.35
103;0;4.42
102;0;4.46
91;0;4.31
118;0;4.46
92;2;4.27
103;4;4.46
93;3;4.62
102;0;4.42
96;1;4.39
102;0;4.39
105;0;4.58
104;0;4.66
98;0;4.5
116;0;4.5
116;0;4.58
110;0;4.5
115;0;4.31
120;0;4.5
112;0;4.62
101;0;4.5
93;0;4.31
