TIMESTAMP;CGROUP;PERF_COUNT_SW_CPU_CLOCK;MEMORY_ANON;MEMORY_FILE
1744725323.3426;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;9051748;695656448;212992
1744725323.3426;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;8382119;696377344;212992
1744725324.3400;#SYSTEM;11968003418;3050360832;353943552
1744725324.3400;/sys/fs/cgroup/apps/app1;0;0;0
1744725324.3400;/sys/fs/cgroup/apps/app2;0;0;0
1744725324.3400;/sys/fs/cgroup/apps/app3;0;0;0
1744725324.3400;/sys/fs/cgroup/apps/app4;0;0;49152
1744725324.3400;/sys/fs/cgroup/cache/cache1;0;0;0
1744725324.3400;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;7055286;756076544;35762176
1744725324.3400;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;6815829;695758848;450560
1744725324.3400;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;7259068;695656448;212992
1744725324.3400;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;8397325;696377344;221184
1744725325.2214;#SYSTEM;11968626565;3075104768;353951744
1744725325.2214;/sys/fs/cgroup/apps/app1;0;0;0
1744725325.2214;/sys/fs/cgroup/apps/app2;0;0;0
1744725325.2214;/sys/fs/cgroup/apps/app3;0;0;0
1744725325.2214;/sys/fs/cgroup/apps/app4;0;0;49152
1744725325.2214;/sys/fs/cgroup/cache/cache1;0;0;0
1744725325.2214;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;6853492;756076544;35762176
1744725325.2214;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;6310505;695758848;450560
1744725325.2214;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;6429521;695656448;212992
1744725325.2214;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;6407492;696377344;221184
1744725326.4280;#SYSTEM;12006222868;3048415232;353943552
1744725326.4280;/sys/fs/cgroup/apps/app1;0;0;0
1744725326.4280;/sys/fs/cgroup/apps/app2;0;0;0
1744725326.4280;/sys/fs/cgroup/apps/app3;0;0;0
1744725326.4280;/sys/fs/cgroup/apps/app4;0;0;49152
1744725326.4280;/sys/fs/cgroup/cache/cache1;0;0;0
1744725326.4280;/sys/fs/cgroup/system.slice/docker-0859663b97bfb0782872d1a5d393bd044511b24038b281a500989b8140002635.scope;8956667;756076544;35762176
1744725326.4280;/sys/fs/cgroup/system.slice/docker-7cf7223cefcf9366d5b0fd38adff1a107f7c2edb693d2449ebbbc15f98fd8868.scope;8032614;695758848;450560
1744725326.4280;/sys/fs/cgroup/system.slice/docker-a143a8c26af0fd0b670e6ee5bd4169ece60d12539058d4d04d474426184749e1.scope;7985649;695656448;212992
1744725326.4280;/sys/fs/cgroup/system.slice/docker-e70e7be90e00021faf79642a39b3f3ef76e6dad9944bc1d4b63cfa5abe70004b.scope;8194266;696377344;221184
1744725327.1319;#SYSTEM;11940128330;3051048960;354246656
1744725327.1319;/sys/fs/cgroup/apps/app1;0;0;0
1744725327.1319;/sys/fs/cgroup/apps/app2;0;0;0
1744725327.1319;/sys/fs/cgroup/apps/app3;0;0;0
1744725327.1319;/sys/fs/cgroup/apps/app4;0;0;49152
1744725327.1319;/sys/fs/cgroup/cache/cache1;0;0;0
