HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;0;2.03
0;10;2.43
27;21;3.78
46;0;3.81
72;0;3.89
60;0;3.65
62;0;3.72
67;0;3.79
76;0;3.87
71;0;3.94
69;0;3.96
79;9;4.05
90;6;4.19
83;0;4.01
100;0;4.11
91;0;4.09
86;0;4.08
100;0;4.22
92;0;4.23
86;0;4.29
94;0;4.3
92;5;4.36
89;8;4.38
105;0;4.31
89;0;4.36
113;0;4.45
85;0;4.46
83;0;4.39
105;0;4.47
81;0;4.24
110;0;4.17
90;3;4.18
97;6;4.3
104;2;4.31
107;0;4.23
97;0;4.35
114;0;4.28
128;0;4.56
105;0;4.4
112;0;4.6
138;0;4.45
115;0;4.41
135;0;4.53
97;0;4.61
101;0;4.33
108;0;4.34
99;0;4.41
96;0;4.3
99;0;4.14
96;0;4.11
110;0;4.22
98;0;4.18
108;0;4.42
96;0;4.34
130;0;4.38
93;0;4.54
111;0;4.58
118;0;4.38
101;0;4.42
133;0;4.34
105;0;4.34
98;0;4.46
99;5;4.5
103;5;4.38
109;1;4.42
105;0;4.42
102;0;4.34
114;0;4.5
115;0;4.42
104;0;4.46
95;0;4.62
83;4;4.54
91;0;4.38
113;4;4.3
88;2;4.23
107;0;4.23
104;0;4.31
112;0;4.34
109;0;4.34
