TIMESTAMP;PDU;CPU;RAM;GPU
1744722864.867516;3.6;1.86182;0;0
1744722865.866452;25.2;4.77197;0;0
1744722866.866632;46.8;9.1403;0;0
1744722867.865687;68.4;11.7138;0;0
1744722868.865413;90;14.5892;0;0
1744722869.862918;111.6;18.2673;0;0
1744722870.863846;129.6;20.6577;0;0
1744722871.862179;151.2;23.6476;0;0
1744722872.862162;176.4;27.304;0;0
1744722873.861754;194.4;29.5112;0;0
1744722874.862723;216;32.4302;0;0
1744722875.861675;234;36.3098;0;0
1744722876.860470;255.6;38.3553;0;0
1744722877.860759;277.2;42.5407;0;0
1744722878.859872;298.8;45.7938;0;0
1744722879.878876;324;48.9631;0;0
1744722880.855966;342;51.8169;0;0
1744722881.854817;363.6;54.7746;0;0
1744722882.853516;385.2;57.7695;0;0
1744722883.854962;403.2;60.0842;0;0
1744722884.852764;424.8;62.8741;0;0
1744722885.851846;442.8;65.8633;0;0
1744722886.850954;464.4;68.2764;0;0
1744722887.850612;482.4;70.8736;0;0
1744722888.849372;504;74.0271;0;0
1744722889.850501;525.6;76.3826;0;0
1744722890.845966;543.6;79.0329;0;0
1744722891.846929;565.2;82.1785;0;0
1744722892.848789;586.8;84.4951;0;0
1744722893.845535;608.4;87.2844;0;0
1744722894.847877;626.4;90.4963;0;0
1744722895.845764;651.6;94.0258;0;0
1744722896.860759;673.2;97.359;0;0
1744722897.856224;694.8;100.604;0;0
1744722898.844064;716.4;103.7;0;0
1744722899.840505;741.6;107.466;0;0
1744722900.838815;763.2;110.481;0;0
1744722901.839264;784.8;113.82;0;0
1744722902.837352;806.4;117.321;0;0
1744722903.846684;828;120.475;0;0
1744722904.836406;849.6;123.481;0;0
1744722905.836465;871.2;126.607;0;0
1744722906.834251;892.8;130.329;0;0
1744722907.833315;914.4;133.475;0;0
1744722908.835210;936;136.899;0;0
1744722909.833513;961.2;140.466;0;0
1744722910.850234;982.8;143.796;0;0
1744722911.829524;1004.4;146.866;0;0
1744722912.830105;1026;149.971;0;0
1744722913.829385;1047.6;153.648;0;0
1744722914.831297;1069.2;156.841;0;0
1744722915.827594;1090.8;160.038;0;0
1744722916.828295;1116;163.566;0;0
1744722917.844958;1137.6;166.807;0;0
1744722918.824497;1159.2;169.808;0;0
1744722919.822552;1177.2;172.992;0;0
1744722920.822195;1198.8;175.93;0;0
1744722921.822049;1224;179.488;0;0
1744722922.819806;1242;182.502;0;0
1744722923.822920;1263.6;185.043;0;0
1744722924.819918;1281.6;187.089;0;0
1744722925.818204;1299.6;189.119;0;0
1744722926.819206;1317.6;191.177;0;0
1744722927.819423;1335.6;193.203;0;0
1744722928.816615;1357.2;195.231;0;0
1744722929.815725;1375.2;197.263;0;0
1744722930.815468;1393.2;199.358;0;0
1744722931.815100;1411.2;201.392;0;0
1744722932.813895;1429.2;203.417;0;0
1744722933.814099;1458;215.719;0;0
1744722934.809897;1508.4;240.193;0;0
1744722935.810381;1558.8;264.879;0;0
1744722936.807815;1609.2;289.5;0;0
1744722937.808269;1659.6;314.053;0;0
1744722938.806406;1710;338.623;0;0
1744722939.806628;1760.4;363.32;0;0
1744722940.804896;1810.8;387.971;0;0
1744722941.803656;1861.2;412.608;0;0
1744722942.802935;1911.6;437.244;0;0
1744722943.801668;1962;461.93;0;0
1744722944.800770;2012.4;486.603;0;0
1744722945.799948;2062.8;511.239;0;0
1744722946.798909;2109.6;535.821;0;0
1744722947.798371;2160;560.031;0;0
1744722948.796990;2210.4;584.504;0;0
1744722949.797172;2257.2;609.218;0;0
1744722950.795195;2307.6;633.034;0;0
1744722951.794164;2358;656.634;0;0
1744722952.793396;2404.8;679.873;0;0
1744722953.792425;2451.6;704.491;0;0
1744722954.791240;2498.4;726.426;0;0
1744722955.790527;2548.8;750.624;0;0
1744722956.789606;2595.6;774.31;0;0
1744722957.788902;2642.4;797.008;0;0
1744722958.787774;2692.8;821.374;0;0
1744722959.786906;2739.6;845.154;0;0
1744722960.785843;2790;868.888;0;0
1744722961.785108;2836.8;892.611;0;0
1744722962.784348;2883.6;914.872;0;0
1744722963.783210;2930.4;937.121;0;0
1744722964.782494;2977.2;960.968;0;0
1744722965.781547;3027.6;985.552;0;0
1744722966.780344;3074.4;1008.71;0;0
1744722967.779658;3121.2;1030.17;0;0
1744722968.778325;3168;1052.87;0;0
1744722969.777824;3214.8;1076.96;0;0
1744722970.776898;3261.6;1099.52;0;0
1744722971.775607;3312;1124.32;0;0
1744722972.774723;3358.8;1147.82;0;0
1744722973.774522;3405.6;1171.32;0;0
1744722974.773468;3456;1196.23;0;0
1744722975.772767;3506.4;1221.18;0;0
1744722976.771973;3556.8;1246.1;0;0
1744722977.770637;3610.8;1271.01;0;0
1744722978.769901;3661.2;1295.96;0;0
1744722979.768749;3711.6;1320.88;0;0
1744722980.768918;3762;1345.82;0;0
1744722981.767232;3812.4;1370.71;0;0
1744722982.767085;3862.8;1395.66;0;0
1744722983.765403;3913.2;1420.55;0;0
1744722984.765740;3963.6;1445.49;0;0
1744722985.763391;4014;1470.38;0;0
1744722986.763349;4064.4;1495.32;0;0
1744722987.762258;4118.4;1520.24;0;0
1744722988.762905;4168.8;1545.21;0;0
1744722989.761657;4219.2;1570.1;0;0
1744722990.762542;4262.4;1595.07;0;0
1744722991.762440;4312.8;1620.01;0;0
1744722992.759627;4366.8;1644.87;0;0
1744722993.759869;4417.2;1669.82;0;0
1744722994.759086;4467.6;1694.72;0;0
1744722995.758172;4518;1719.63;0;0
1744722996.757678;4568.4;1744.55;0;0
1744722997.756285;4618.8;1769.46;0;0
1744722998.754609;4669.2;1794.35;0;0
1744722999.754338;4719.6;1819.28;0;0
1744723000.754352;4770;1844.24;0;0
1744723001.752822;4820.4;1869.15;0;0
1744723002.752999;4870.8;1894.09;0;0
1744723003.750857;4921.2;1918.98;0;0
1744723004.750749;4975.2;1943.92;0;0
1744723005.748740;5025.6;1968.82;0;0
1744723006.747762;5076;1993.73;0;0
1744723007.747088;5126.4;2018.65;0;0
1744723008.746567;5176.8;2043.57;0;0
1744723009.745244;5230.8;2068.48;0;0
1744723010.742448;5281.2;2093.35;0;0
1744723011.742486;5331.6;2118.32;0;0
1744723012.742558;5382;2143.26;0;0
1744723013.739428;5432.4;2168.13;0;0
1744723014.740765;5486.4;2193.1;0;0
1744723015.737571;5536.8;2217.97;0;0
1744723016.739546;5587.2;2242.96;0;0
1744723017.738518;5637.6;2267.83;0;0
1744723018.738325;5688;2292.77;0;0
1744723019.736119;5742;2317.67;0;0
1744723020.735574;5792.4;2342.61;0;0
1744723021.735421;5842.8;2367.55;0;0
1744723022.735359;5896.8;2392.47;0;0
1744723023.731962;5947.2;2417.34;0;0
1744723024.732583;5997.6;2442.3;0;0
1744723025.731248;6048;2467.22;0;0
1744723026.730518;6098.4;2492.14;0;0
1744723027.730892;6152.4;2517.08;0;0
1744723028.728718;6202.8;2541.97;0;0
1744723029.728621;6253.2;2566.91;0;0
1744723030.726832;6303.6;2591.8;0;0
1744723031.724861;6354;2616.7;0;0
1744723032.722955;6404.4;2641.59;0;0
1744723033.722327;6458.4;2666.51;0;0
1744723034.720995;6508.8;2691.45;0;0
1744723035.720043;6559.2;2716.37;0;0
1744723036.720647;6609.6;2741.31;0;0
1744723037.718537;6660;2766.2;0;0
1744723038.717360;6714;2791.12;0;0
1744723039.716642;6764.4;2816.03;0;0
1744723040.716707;6814.8;2840.98;0;0
1744723041.712521;6865.2;2865.82;0;0
1744723042.715015;6919.2;2890.81;0;0
1744723043.711205;6969.6;2915.66;0;0
1744723044.712269;7020;2940.65;0;0
1744723045.709047;7070.4;2965.52;0;0
1744723046.708253;7124.4;2990.43;0;0
1744723047.708361;7174.8;3015.38;0;0
1744723048.706486;7225.2;3040.27;0;0
1744723049.706614;7275.6;3065.21;0;0
1744723050.705888;7326;3090.13;0;0
1744723051.705204;7380;3115.07;0;0
1744723052.703983;7430.4;3139.96;0;0
1744723053.703814;7480.8;3164.9;0;0
1744723054.701711;7531.2;3189.8;0;0
1744723055.700608;7581.6;3214.72;0;0
1744723056.701253;7635.6;3239.68;0;0
1744723057.700433;7686;3264.6;0;0
1744723058.699134;7736.4;3289.5;0;0
1744723059.696901;7786.8;3314.39;0;0
1744723060.696347;7840.8;3339.29;0;0
1744723061.695591;7891.2;3364.21;0;0
1744723062.695451;7941.6;3389.15;0;0
1744723063.693994;7992;3414.04;0;0
1744723064.692765;8042.4;3438.94;0;0
1744723065.692435;8096.4;3463.89;0;0
1744723066.690914;8146.8;3488.78;0;0
1744723067.690943;8197.2;3513.72;0;0
1744723068.688653;8247.6;3538.59;0;0
1744723069.688600;8298;3563.52;0;0
1744723070.687217;8352;3588.44;0;0
1744723071.686807;8402.4;3613.38;0;0
1744723072.686231;8452.8;3638.27;0;0
1744723073.684413;8503.2;3663.17;0;0
1744723074.684171;8553.6;3688.11;0;0
1744723075.682457;8607.6;3712.99;0;0
1744723076.682993;8658;3737.94;0;0
1744723077.681742;8708.4;3762.86;0;0
1744723078.680825;8758.8;3787.77;0;0
1744723079.678833;8809.2;3812.65;0;0
1744723080.677467;8859.6;3837.56;0;0
1744723081.676385;8910;3862.51;0;0
1744723082.676992;8960.4;3887.44;0;0
1744723083.674817;9010.8;3912.33;0;0
1744723084.674033;9061.2;3937.24;0;0
1744723085.674051;9111.6;3962.17;0;0
1744723086.672299;9162;3987.06;0;0
1744723087.673154;9212.4;4012.01;0;0
1744723088.670439;9262.8;4036.88;0;0
1744723089.670601;9313.2;4061.81;0;0
1744723090.668315;9363.6;4086.7;0;0
1744723091.668655;9417.6;4111.65;0;0
1744723092.667841;9468;4136.59;0;0
1744723093.665729;9518.4;4161.48;0;0
1744723094.665719;9568.8;4186.42;0;0
1744723095.664942;9619.2;4211.34;0;0
1744723096.663622;9669.6;4236.25;0;0
1744723097.663327;9720;4261.17;0;0
1744723098.666263;9770.4;4286.18;0;0
1744723099.664860;9820.8;4311.1;0;0
1744723100.664390;9864;4336.01;0;0
1744723101.663115;9918;4360.92;0;0
1744723102.662377;9968.4;4385.84;0;0
1744723103.662730;10018.8;4410.79;0;0
1744723104.661970;10069.2;4435.73;0;0
1744723105.661157;10119.6;4460.65;0;0
1744723106.658626;10170;4485.55;0;0
1744723107.657246;10220.4;4510.45;0;0
1744723108.656070;10270.8;4535.33;0;0
1744723109.655996;10321.2;4560.26;0;0
1744723110.655653;10371.6;4585.2;0;0
1744723111.653988;10422;4610.09;0;0
1744723112.654260;10472.4;4635.03;0;0
1744723113.652204;10522.8;4659.92;0;0
1744723114.652633;10573.2;4684.86;0;0
1744723115.651554;10623.6;4709.78;0;0
1744723116.650540;10674;4734.69;0;0
1744723117.649516;10724.4;4759.59;0;0
1744723118.648588;10774.8;4784.51;0;0
1744723119.647745;10825.2;4809.42;0;0
1744723120.646854;10875.6;4834.34;0;0
1744723121.646574;10926;4859.27;0;0
1744723122.644542;10976.4;4884.17;0;0
1744723123.644748;11026.8;4909.11;0;0
1744723124.643151;11077.2;4934;0;0
1744723125.643145;11127.6;4958.96;0;0
1744723126.640937;11178;4983.84;0;0
1744723127.641073;11232;5008.78;0;0
1744723128.639212;11282.4;5033.67;0;0
1744723129.638769;11332.8;5058.58;0;0
1744723130.637549;11383.2;5083.48;0;0
1744723131.636500;11433.6;5108.41;0;0
1744723132.636391;11484;5133.34;0;0
1744723133.634827;11534.4;5158.23;0;0
