HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
7;44;1.33
23;46;1.56
26;52;1.61
22;44;1.71
29;58;1.89
23;47;1.93
28;55;2.07
27;54;2.04
27;54;2.37
22;65;2.54
36;81;2.66
36;72;2.79
31;62;2.9
37;74;3.2
29;58;3.18
35;70;3.38
37;74;3.68
30;60;3.72
27;55;4.01
29;78;4.06
31;71;4.26
32;64;4.34
34;68;4.54
33;66;4.62
39;78;4.85
35;71;5.23
45;89;5.39
40;80;5.62
37;74;5.68
28;80;5.9
42;90;6.18
34;69;6.42
40;79;6.6
38;76;6.67
39;78;6.75
37;74;6.96
43;86;7.36
46;92;7.5
34;68;7.59
36;72;7.76
32;66;7.93
39;77;8.03
36;71;8.21
42;84;8.41
36;72;8.7
37;74;8.84
38;77;9.07
40;79;9.18
41;82;9.38
34;68;9.54
42;84;9.78
37;77;9.99
46;90;9.99
42;83;9.91
44;88;9.84
45;90;10.0
38;76;9.75
47;94;10.0
45;90;9.96
42;91;10.0
28;67;9.77
32;73;9.85
37;77;9.87
39;78;9.92
41;82;9.94
46;92;9.94
36;72;9.77
36;72;9.87
40;80;10.0
37;95;9.9
39;90;10.0
45;87;9.92
35;72;9.87
39;76;9.97
35;70;9.89
38;76;9.92
45;90;9.97
45;90;9.94
39;78;9.95
31;71;9.97
38;94;9.99
34;71;9.95
45;90;9.89
38;76;9.87
46;92;10.0
43;86;9.98
39;78;10.0
38;76;9.99
53;106;9.95
36;90;9.99
39;90;10.0
35;70;9.89
47;94;9.86
43;86;9.86
47;94;9.97
33;66;9.86
34;68;9.9
37;75;9.92
35;69;9.86
30;60;9.87
41;82;10.0
