TIMESTAMP;PDU;CPU;RAM;GPU
1744724939.858614;0;1.93346;0;0
1744724940.855512;21.6;4.92253;0;0
1744724941.855876;43.2;9.45467;0;0
1744724942.856089;61.2;12.0625;0;0
1744724943.856149;82.8;15.1557;0;0
1744724944.854381;104.4;18.9403;0;0
1744724945.851882;122.4;21.31;0;0
1744724946.854223;140.4;24.3383;0;0
1744724947.851431;162;28.3224;0;0
1744724948.852116;180;30.5039;0;0
1744724949.848855;201.6;33.5788;0;0
1744724950.846541;219.6;37.3466;0;0
1744724951.847732;241.2;39.7701;0;0
1744724952.846823;259.2;42.8611;0;0
1744724953.847809;280.8;46.2113;0;0
1744724954.859789;298.8;49.2684;0;0
1744724955.845020;320.4;52.257;0;0
1744724956.844691;342;55.5068;0;0
1744724957.844967;360;58.3807;0;0
1744724958.842200;378;60.5786;0;0
1744724959.842924;396;63.591;0;0
1744724960.841510;417.6;66.6848;0;0
1744724961.838807;435.6;69.0754;0;0
1744724962.836458;453.6;71.7153;0;0
1744724963.837249;475.2;74.7133;0;0
1744724964.835651;493.2;77.4639;0;0
1744724965.836348;511.2;79.8397;0;0
1744724966.834116;532.8;82.9029;0;0
1744724967.834745;550.8;85.8973;0;0
1744724968.832920;568.8;87.9726;0;0
1744724969.831963;590.4;91.0757;0;0
1744724970.830832;612;94.3891;0;0
1744724971.831397;633.6;97.882;0;0
1744724972.849549;651.6;101.066;0;0
1744724973.831193;673.2;104.076;0;0
1744724974.846974;691.2;107.273;0;0
1744724975.827402;712.8;110.109;0;0
1744724976.825146;734.4;113.887;0;0
1744724977.825785;756;116.956;0;0
1744724978.824781;777.6;120.097;0;0
1744724979.824324;795.6;123.559;0;0
1744724980.838899;817.2;126.903;0;0
1744724981.822686;838.8;129.82;0;0
1744724982.820775;856.8;132.852;0;0
1744724983.821396;878.4;135.962;0;0
1744724984.817129;896.4;139.277;0;0
1744724985.817558;918;142.795;0;0
1744724986.816982;939.6;145.884;0;0
1744724987.817969;961.2;149.089;0;0
1744724988.815459;979.2;152.573;0;0
1744724989.832825;1000.8;155.726;0;0
1744724990.813001;1022.4;158.78;0;0
1744724991.812832;1040.4;161.897;0;0
1744724992.812518;1062;164.992;0;0
1744724993.814040;1083.6;168.706;0;0
1744724994.811570;1101.6;171.691;0;0
1744724995.811749;1123.2;174.782;0;0
1744724996.809798;1144.8;178.243;0;0
1744724997.808899;1162.8;181.631;0;0
1744724998.821933;1188;185.909;0;0
1744724999.808777;1206;188.974;0;0
1744725000.806501;1227.6;192.08;0;0
1744725001.805326;1249.2;195.158;0;0
1744725002.805459;1270.8;198.819;0;0
1744725003.805826;1288.8;201.858;0;0
1744725004.803503;1310.4;204.913;0;0
1744725005.804748;1328.4;206.993;0;0
1744725006.801954;1346.4;209.061;0;0
1744725007.803469;1364.4;211.144;0;0
1744725008.801106;1382.4;213.242;0;0
1744725009.800878;1400.4;215.297;0;0
1744725010.799452;1414.8;217.343;0;0
1744725011.798475;1432.8;219.405;0;0
1744725012.795297;1468.8;235.966;0;0
1744725013.795641;1519.2;260.67;0;0
1744725014.793812;1569.6;285.582;0;0
1744725015.792820;1620;310.265;0;0
1744725016.792795;1670.4;334.848;0;0
1744725017.790745;1717.2;359.693;0;0
1744725018.790928;1767.6;384.397;0;0
1744725019.790055;1818;408.975;0;0
1744725020.788986;1868.4;433.804;0;0
1744725021.787116;1915.2;457.974;0;0
1744725022.789266;1965.6;482.306;0;0
1744725023.787995;2008.8;505.529;0;0
1744725024.788123;2055.6;529.605;0;0
1744725025.784354;2102.4;552.814;0;0
1744725026.786310;2149.2;576.494;0;0
