HITS;MISSES;MEMORY
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;0.83
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;0;1.07
0;29;1.49
17;37;1.43
16;30;1.3
23;46;1.61
22;45;1.68
28;55;1.97
23;46;1.85
26;52;2.13
25;50;2.18
24;49;2.33
25;79;2.33
37;74;2.71
31;62;2.7
35;70;2.91
32;64;3.22
34;70;3.31
38;74;3.42
35;70;3.78
33;67;3.88
28;62;4.03
25;73;4.1
37;75;4.17
38;76;4.35
37;73;4.64
33;68;4.86
42;82;4.93
39;78;5.17
31;62;5.32
36;72;5.46
35;74;5.82
35;87;6.02
44;94;6.08
42;87;6.32
36;72;6.53
38;76;6.7
46;94;7.1
37;72;7.15
39;78;7.29
37;74;7.47
36;74;7.68
34;68;7.85
37;72;7.86
42;84;8.14
47;94;8.41
40;80;8.67
32;64;8.67
42;84;9.01
41;82;9.17
37;74;9.38
31;62;9.53
42;84;9.62
44;88;9.83
47;94;9.94
40;80;10.25
41;82;10.61
45;90;10.74
38;76;10.81
38;76;11.06
41;82;11.28
40;80;11.51
24;66;11.5
41;91;11.9
39;78;11.88
45;93;12.17
48;96;12.51
37;74;12.58
40;80;12.8
48;96;13.09
44;88;13.15
39;90;13.39
38;88;13.42
43;89;13.7
39;78;13.73
29;61;13.62
40;84;13.86
49;95;13.7
53;105;13.9
40;80;13.71
39;79;13.78
44;90;13.7
32;76;13.58
39;81;13.64
42;84;13.65
30;69;13.7
38;79;13.85
44;88;13.82
34;68;14.02
39;78;13.97
39;78;13.77
37;86;13.91
41;94;13.98
45;96;13.8
51;102;13.88
37;74;13.94
43;86;14.03
41;82;14.24
51;102;14.34
40;80;14.29
40;80;14.38
45;90;14.21
